seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4010,100,dijkstra,450,0,1585.007,1746.0,2280.7,1.3417,1.0,395,0,1585.007,1.0,,,1585.038,1.0,395,0.0,0,,7.1
4010,100,mappo_off,450,0,851.042,893.0,1468.2,1.7263,1.0,328,0,851.042,1.0,,,851.042,1.0,328,0.0,0,0.4528,14.2
4010,100,mappo_on,450,0,1281.584,1483.5,2044.2,1.4231,1.0,348,0,1281.584,1.0,,,1281.598,1.0,348,0.0,0,0.4075,19.3
4014,10,dijkstra,45,405,300.182,311.0,516.0,1.7223,1.0,105,0,284.311,1.0,301.946,1.0,284.311,1.0,16,0.0,0,,1.6
4016,25,dijkstra,112,338,209.304,201.5,359.0,1.9012,1.0,39,0,225.714,1.0,203.867,1.0,225.714,1.0,13,0.0,0,,1.8
4018,50,dijkstra,225,225,359.296,214.0,862.3,4.4465,1.0,163,0,358.902,1.0,359.689,1.0,358.902,1.0,75,0.0,0,,3.4
4016,100,dijkstra,450,0,213.807,227.5,351.0,1.6532,1.0,42,0,213.807,1.0,,,213.807,1.0,42,0.0,0,,4.1
4013,100,dijkstra,450,0,597.109,591.5,1186.5,2.0896,1.0,265,0,597.109,1.0,,,597.109,1.0,265,0.0,0,,6.3
4020,50,dijkstra,225,225,246.804,228.5,406.0,1.8775,1.0,73,0,246.436,1.0,247.173,1.0,246.436,1.0,30,0.0,0,,2.8
4010,25,dijkstra,112,338,1563.724,1889.0,2448.2,1.3357,1.0,378,0,1600.259,1.0,1551.618,1.0,1600.277,1.0,90,0.0,0,,7.2
4017,25,dijkstra,112,338,538.329,471.5,1128.0,2.4932,1.0,241,0,538.5,1.0,538.272,1.0,538.5,1.0,57,0.0,0,,3.9
4025,50,dijkstra,225,225,618.244,572.5,1196.5,2.3008,1.0,235,0,630.649,1.0,605.84,1.0,630.649,1.0,114,0.0,0,,8.5
4016,75,mappo_on,338,112,230.551,222.0,406.5,2.0378,1.0,63,0,243.518,1.0,191.42,1.0,243.518,1.0,57,0.0,0,0.3081,9.3
4018,75,mappo_on,338,112,302.551,245.0,590.0,2.592,1.0,130,0,305.03,1.0,295.071,1.0,305.03,1.0,98,0.0,0,0.3837,10.2
4016,100,mappo_off,450,0,223.698,217.5,402.1,2.0807,1.0,51,0,223.698,1.0,,,223.698,1.0,51,0.0,0,0.2737,10.2
4020,10,mappo_off,45,405,238.451,214.0,425.0,2.1334,1.0,63,0,345.133,1.0,226.598,1.0,345.133,1.0,10,0.0,0,0.4841,4.4
4020,25,mappo_on,112,338,254.798,232.0,438.0,2.1522,1.0,78,0,314.83,1.0,234.905,1.0,314.83,1.0,24,0.0,0,0.4424,5.7
4011,10,mappo_on,45,405,699.078,711.5,1297.1,1.9706,1.0,297,0,810.378,1.0,686.711,1.0,810.378,1.0,33,0.0,0,0.4091,8.1
4029,50,mappo_on,225,225,311.573,300.5,540.7,2.0285,1.0,125,0,335.164,1.0,287.982,1.0,335.164,1.0,73,0.0,0,0.3907,9.0
4027,10,mappo_on,45,405,607.913,514.0,1314.8,2.7126,1.0,244,0,781.778,1.0,588.595,1.0,781.778,1.0,32,0.0,0,0.5714,5.8
4024,50,mappo_on,225,225,653.207,603.0,1235.2,2.1095,1.0,274,0,629.516,1.0,676.898,1.0,629.516,1.0,132,0.0,0,0.5031,15.2
4029,100,mappo_on,450,0,302.327,288.0,589.0,2.1686,1.0,120,0,302.327,1.0,,,302.327,1.0,121,0.0,0,0.273,10.6
4019,75,mappo_on,338,112,311.902,291.0,558.0,2.221,1.0,127,0,321.127,1.0,284.062,1.0,321.127,1.0,101,0.0,0,0.4153,8.4
4028,10,dijkstra,45,405,655.0,601.0,1251.2,2.3022,1.0,287,0,685.933,1.0,651.563,1.0,685.933,1.0,30,0.0,0,,3.2
4025,100,mappo_off,450,0,548.584,540.0,995.3,1.9844,1.0,227,0,548.584,1.0,,,548.584,1.0,227,0.0,0,0.245,18.2
4013,25,mappo_on,112,338,561.64,503.5,1134.2,2.3893,1.0,245,0,634.438,1.0,537.518,1.0,634.438,1.0,67,0.0,0,0.4528,8.7
4019,25,mappo_off,112,338,340.431,318.5,645.7,2.2229,1.0,155,0,408.75,1.0,317.793,1.0,408.75,1.0,51,0.0,0,0.4965,5.1
4015,50,mappo_off,225,225,822.393,862.0,1339.2,1.6193,1.0,368,0,865.684,1.0,779.102,1.0,865.684,1.0,186,0.0,0,0.4972,15.8
4028,25,mappo_on,112,338,655.798,591.0,1289.2,2.3151,1.0,282,0,704.804,1.0,639.559,1.0,704.804,1.0,73,0.0,0,0.4492,8.8
4012,50,mappo_on,225,225,1391.16,1588.0,2200.0,1.4172,1.0,386,0,1498.573,1.0,1283.747,1.0,1498.578,1.0,188,0.0,0,0.5693,27.5
4014,50,dijkstra,225,225,331.096,338.5,546.0,1.6898,1.0,130,0,329.151,1.0,333.04,1.0,329.151,1.0,66,0.0,0,,3.2
4018,25,dijkstra,112,338,367.793,216.0,905.8,4.5905,1.0,170,0,403.741,1.0,355.882,1.0,403.741,1.0,46,0.0,0,,2.8
4021,25,dijkstra,112,338,510.369,478.5,1045.0,2.3984,1.0,232,0,480.982,1.0,520.107,1.0,480.982,1.0,52,0.0,0,,3.4
4021,100,mappo_off,450,0,399.976,377.5,791.1,2.218,1.0,164,0,399.976,1.0,,,399.976,1.0,165,0.0,0,0.3783,15.1
4015,50,dijkstra,225,225,560.213,517.5,1090.2,2.2756,1.0,267,0,578.529,1.0,541.898,1.0,578.529,1.0,128,0.0,0,,6.3
4025,100,mappo_on,450,0,554.353,550.0,1008.4,1.9337,1.0,221,0,554.353,1.0,,,554.353,1.0,222,0.0,0,0.228,17.0
4016,25,mappo_off,112,338,199.629,184.5,347.1,2.0602,1.0,42,0,247.402,1.0,183.799,1.0,247.402,1.0,22,0.0,0,0.3849,3.7
4015,50,mappo_on,225,225,817.96,858.5,1339.3,1.6169,1.0,363,0,853.209,1.0,782.711,1.0,853.209,1.0,183,0.0,0,0.4382,15.7
