seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4010,100,dijkstra,450,0,1585.007,1746.0,2280.7,1.3417,1.0,395,0,1585.007,1.0,,,1585.038,1.0,395,0.0,0,,7.5
4010,10,mappo_on,45,405,722.258,692.5,1331.1,2.06,1.0,312,0,717.289,1.0,722.81,1.0,717.289,1.0,26,0.0,0,0.0,3.8
4010,75,mappo_on,338,112,1529.142,1774.5,2379.0,1.3691,1.0,368,0,1516.083,1.0,1568.554,1.0,1516.095,1.0,270,0.0,0,0.0,19.3
4010,50,mappo_on,225,225,1369.658,1561.0,2193.3,1.4444,1.0,359,0,1366.596,1.0,1372.72,1.0,1366.6,1.0,174,0.0,0,0.0,12.1
4010,50,dijkstra,225,225,917.289,962.0,1576.2,1.7257,1.0,344,0,921.978,1.0,912.6,1.0,921.978,1.0,166,0.0,0,,3.8
4010,25,mappo_on,112,338,1987.844,2280.5,2831.5,1.2664,1.0,414,0,1978.143,1.0,1991.059,1.0,1978.196,1.0,100,0.0,0,0.0,10.4
4010,25,dijkstra,112,338,1563.724,1889.0,2448.2,1.3357,1.0,378,0,1600.259,1.0,1551.618,1.0,1600.277,1.0,90,0.0,0,,3.7
4010,10,dijkstra,45,405,859.033,824.0,1545.1,1.9867,1.0,320,0,815.0,1.0,863.926,1.0,815.0,1.0,29,0.0,0,,1.9
4010,75,dijkstra,338,112,1667.631,1920.5,2459.1,1.3268,1.0,382,0,1668.873,1.0,1663.884,1.0,1668.876,1.0,282,0.0,0,,6.2
4010,100,mappo_on,450,0,1249.393,1428.0,2026.0,1.4545,1.0,373,0,1249.393,1.0,,,1249.393,1.0,373,0.0,0,0.0,17.8
4020,25,dijkstra,112,338,265.364,262.5,428.0,1.6952,1.0,88,0,273.616,1.0,262.63,1.0,273.616,1.0,18,0.0,0,,1.7
4013,10,dijkstra,45,405,574.956,559.5,1162.5,2.1887,1.0,257,0,553.0,1.0,577.395,1.0,553.0,1.0,22,0.0,0,,2.2
4016,25,mappo_on,112,338,198.502,189.5,344.0,1.9132,1.0,37,0,217.768,1.0,192.118,1.0,217.768,1.0,14,0.0,0,0.0,5.7
4029,25,mappo_on,112,338,272.573,280.0,469.0,1.8468,1.0,86,0,255.902,1.0,278.098,1.0,255.902,1.0,25,0.0,0,0.0,5.3
4029,50,mappo_on,225,225,286.22,300.5,481.0,1.6809,1.0,104,0,293.351,1.0,279.089,1.0,293.351,1.0,58,0.0,0,0.0,8.9
4029,50,mappo_off,225,225,312.007,274.0,581.2,2.4547,1.0,122,0,361.538,1.0,262.476,1.0,361.538,1.0,83,0.0,0,0.4716,9.6
4023,50,dijkstra,225,225,570.678,525.0,1165.2,2.3145,1.0,253,0,564.204,1.0,577.151,1.0,564.204,1.0,121,0.0,0,,4.2
4017,50,mappo_off,225,225,410.429,367.0,808.1,2.3978,1.0,186,0,392.707,1.0,428.151,1.0,392.707,1.0,85,0.0,0,0.544,10.3
4022,25,mappo_off,112,338,563.04,520.5,1098.2,2.2107,1.0,252,0,574.009,1.0,559.405,1.0,574.009,1.0,61,0.0,0,0.6436,8.7
4021,50,mappo_on,225,225,464.704,414.0,1002.9,2.5534,1.0,201,0,452.049,1.0,477.36,1.0,452.049,1.0,92,0.0,0,0.0,12.4
4026,25,mappo_off,112,338,440.882,394.5,884.0,2.3641,1.0,205,0,464.348,1.0,433.107,1.0,464.348,1.0,54,0.0,0,0.6017,6.5
4016,50,mappo_on,225,225,188.671,172.0,346.1,2.1047,1.0,29,0,194.844,1.0,182.498,1.0,194.844,1.0,18,0.0,0,0.0,5.0
4017,10,mappo_on,45,405,523.091,452.5,1106.2,2.5571,1.0,233,0,473.489,1.0,528.602,1.0,473.489,1.0,19,0.0,0,0.0,3.8
4017,10,mappo_off,45,405,484.56,413.5,1012.0,2.5963,1.0,229,0,439.178,1.0,489.602,1.0,439.178,1.0,24,0.0,0,0.595,4.5
4028,75,mappo_off,338,112,666.942,638.5,1230.7,2.0715,1.0,274,0,691.086,1.0,594.08,1.0,691.086,1.0,211,0.0,0,0.4805,20.7
4025,25,mappo_off,112,338,591.411,558.0,1145.1,2.1374,1.0,229,0,578.964,1.0,595.536,1.0,578.964,1.0,53,0.0,0,0.3754,7.3
4029,75,dijkstra,338,112,302.153,296.0,519.2,1.8465,1.0,112,0,304.189,1.0,296.009,1.0,304.189,1.0,83,0.0,0,,4.2
4028,100,mappo_on,450,0,713.318,677.5,1320.1,2.1151,1.0,289,0,713.318,1.0,,,713.318,1.0,289,0.0,0,0.0,23.2
4014,100,mappo_on,450,0,278.067,266.5,510.1,2.0362,1.0,84,0,278.067,1.0,,,278.067,1.0,84,0.0,0,0.0,9.4
4017,100,mappo_on,450,0,429.527,338.0,912.1,2.9226,1.0,187,0,429.527,1.0,,,429.527,1.0,187,0.0,0,0.0,14.2
4019,10,mappo_off,45,405,336.202,287.5,707.5,2.6666,1.0,160,0,473.911,1.0,320.901,1.0,473.911,1.0,24,0.0,0,0.5804,3.5
4013,75,mappo_off,338,112,600.467,577.5,1122.2,2.0502,1.0,267,0,638.796,1.0,484.795,1.0,638.796,1.0,204,0.0,0,0.5431,16.8
4010,75,mappo_off,338,112,1209.569,1280.5,1881.5,1.5428,1.0,385,0,1212.115,1.0,1201.884,1.0,1212.115,1.0,285,0.0,0,0.5371,27.3
4015,25,dijkstra,112,338,791.362,792.5,1378.8,1.8309,1.0,360,0,863.107,1.0,767.589,1.0,863.107,1.0,94,0.0,0,,4.9
4015,100,mappo_on,450,0,551.564,558.0,1021.1,1.9375,1.0,266,0,551.564,1.0,,,551.564,1.0,267,0.0,0,0.0,17.2
4024,10,mappo_on,45,405,709.049,651.5,1418.0,2.2203,1.0,286,0,604.133,1.0,720.706,1.0,604.133,1.0,27,0.0,0,0.0,6.1
4018,10,mappo_off,45,405,349.847,241.5,803.3,3.6273,1.0,173,0,377.089,1.0,346.82,1.0,377.089,1.0,18,0.0,0,0.4815,3.1
4023,25,mappo_off,112,338,556.762,492.0,1089.2,2.3208,1.0,251,0,721.509,1.0,502.172,1.0,721.509,1.0,74,0.0,0,0.6615,9.3
4023,100,mappo_on,450,0,586.336,546.0,1140.0,2.2198,1.0,266,0,586.336,1.0,,,586.336,1.0,266,0.0,0,0.0,22.9
4020,10,mappo_off,45,405,252.818,237.5,433.1,1.9939,1.0,73,0,399.511,1.0,236.519,1.0,399.511,1.0,15,0.0,0,0.5517,3.1
4014,50,mappo_on,225,225,281.231,277.0,509.1,1.9699,1.0,80,0,268.311,1.0,294.151,1.0,268.311,1.0,41,0.0,0,0.0,5.2
4029,100,mappo_off,450,0,342.382,358.0,619.6,1.8804,1.0,144,0,342.382,1.0,,,342.382,1.0,144,0.0,0,0.3929,12.0
4028,25,mappo_off,112,338,662.053,608.0,1258.2,2.258,1.0,289,0,728.58,1.0,640.009,1.0,728.58,1.0,74,0.0,0,0.5256,8.7
4022,10,dijkstra,45,405,557.189,498.5,1061.4,2.417,1.0,246,0,556.933,1.0,557.217,1.0,556.933,1.0,21,0.0,0,,2.6
4011,50,mappo_off,225,225,687.889,671.0,1239.0,1.9576,1.0,272,0,718.707,1.0,657.071,1.0,718.707,1.0,139,0.0,0,0.3942,13.8
4018,10,dijkstra,45,405,353.009,222.0,852.4,4.1782,1.0,169,0,334.8,1.0,355.032,1.0,334.8,1.0,17,0.0,0,,1.9
4011,75,dijkstra,338,112,708.091,703.5,1363.1,2.0117,1.0,286,0,716.852,1.0,681.652,1.0,716.852,1.0,214,0.0,0,,9.4
4029,75,mappo_on,338,112,290.884,283.0,510.1,1.9136,1.0,117,0,296.669,1.0,273.429,1.0,296.669,1.0,90,0.0,0,0.0,8.7
4025,100,mappo_off,450,0,544.173,534.0,972.1,1.9084,1.0,219,0,544.173,1.0,,,544.173,1.0,219,0.0,0,0.316,16.2
4013,50,dijkstra,225,225,589.849,536.0,1190.8,2.3708,1.0,255,0,583.947,1.0,595.751,1.0,583.947,1.0,123,0.0,0,,4.8
4027,10,mappo_on,45,405,622.129,510.0,1356.0,2.8416,1.0,246,0,722.844,1.0,610.938,1.0,722.844,1.0,33,0.0,0,0.0,5.9
4014,25,dijkstra,112,338,285.609,273.5,492.1,1.8537,1.0,97,0,287.929,1.0,284.84,1.0,287.929,1.0,26,0.0,0,,2.0
4027,10,mappo_off,45,405,621.516,555.5,1327.8,2.5986,1.0,251,0,832.244,1.0,598.101,1.0,832.244,1.0,34,0.0,0,0.5923,6.2
4016,50,mappo_off,225,225,222.331,199.0,404.1,2.3545,1.0,57,0,271.036,1.0,173.627,1.0,271.036,1.0,45,0.0,0,0.4312,5.9
4021,75,mappo_on,338,112,446.758,399.0,958.1,2.607,1.0,201,0,426.601,1.0,507.589,1.0,426.601,1.0,137,0.0,0,0.0,12.4
4029,10,dijkstra,45,405,314.576,303.0,551.3,1.8962,1.0,126,0,311.956,1.0,314.867,1.0,311.956,1.0,15,0.0,0,,2.1
4026,25,dijkstra,112,338,528.0,486.0,1095.4,2.422,1.0,238,0,522.25,1.0,529.905,1.0,522.25,1.0,60,0.0,0,,3.9
4025,25,dijkstra,112,338,614.791,581.0,1219.3,2.2947,1.0,236,0,653.67,1.0,601.908,1.0,653.67,1.0,62,0.0,0,,5.3
4018,50,mappo_off,225,225,330.767,264.0,680.1,2.7424,1.0,157,0,361.773,1.0,299.76,1.0,361.773,1.0,93,0.0,0,0.5121,7.6
4016,10,dijkstra,45,405,203.176,203.0,343.2,1.8401,1.0,31,0,221.756,1.0,201.111,1.0,221.756,1.0,4,0.0,0,,1.7
4013,25,mappo_off,112,338,578.269,555.5,1111.2,2.1316,1.0,250,0,746.723,1.0,522.45,1.0,746.723,1.0,76,0.0,0,0.5963,9.0
4019,100,dijkstra,450,0,341.731,314.5,709.6,2.4882,1.0,141,0,341.731,1.0,,,341.731,1.0,142,0.0,0,,5.2
4025,10,mappo_on,45,405,609.578,562.5,1239.7,2.3796,1.0,236,0,632.667,1.0,607.012,1.0,632.667,1.0,26,0.0,0,0.0,5.2
4028,50,mappo_on,225,225,693.498,632.0,1308.5,2.2896,1.0,291,0,725.093,1.0,661.902,1.0,725.093,1.0,148,0.0,0,0.0,11.7
4025,25,mappo_on,112,338,592.369,544.0,1162.2,2.3476,1.0,222,0,628.375,1.0,580.438,1.0,628.375,1.0,55,0.0,0,0.0,7.4
4021,50,mappo_off,225,225,419.884,356.5,847.3,2.5453,1.0,175,0,432.493,1.0,407.276,1.0,432.493,1.0,88,0.0,0,0.5341,10.1
4023,25,dijkstra,112,338,563.324,535.5,1162.2,2.234,1.0,256,0,550.598,1.0,567.541,1.0,550.598,1.0,61,0.0,0,,3.2
4012,25,mappo_on,112,338,1326.856,1525.5,2147.2,1.4458,1.0,386,0,1442.018,1.0,1288.695,1.0,1442.045,1.0,94,0.0,0,0.0,16.2
4019,25,mappo_on,112,338,325.062,306.0,630.2,2.2404,1.0,155,0,301.786,1.0,332.775,1.0,301.786,1.0,32,0.0,0,0.0,4.5
4025,100,mappo_on,450,0,605.149,560.5,1181.2,2.3495,1.0,229,0,605.149,1.0,,,605.149,1.0,231,0.0,0,0.0,16.6
4024,75,dijkstra,338,112,743.636,709.0,1405.2,2.0826,1.0,293,0,756.911,1.0,703.571,1.0,756.911,1.0,222,0.0,0,,8.6
4018,50,mappo_on,225,225,338.013,211.0,808.4,4.1495,1.0,159,0,326.951,1.0,349.076,1.0,326.951,1.0,69,0.0,0,0.0,6.1
4018,75,mappo_on,338,112,361.187,232.0,902.1,4.1129,1.0,148,0,338.956,1.0,428.277,1.0,338.956,1.0,98,0.0,0,0.0,9.2
