episode,updates_cumulative,updates_episode,algorithm,transitions_buffered,transitions_collected_episode,transitions_collected_cumulative,policy_loss,episode_return_total,avg_return_per_vehicle,value_loss,entropy,entropy_coef_effective,approx_kl,clip_fraction,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,critic_only_queued,route_decisions_total,route_candidate_count,route_feasible_candidate_count,route_actor_ownership_skips,route_no_feasible_candidates,route_choice_idx_0,route_choice_idx_1,route_choice_idx_2,route_choice_idx_3,route_valid_candidates_1,route_valid_candidates_2,route_valid_candidates_3,route_valid_candidates_4,route_choice_nonzero_rate,route_mean_valid_candidates,route_mean_logit_margin,route_mean_chosen_length_norm,route_mean_chosen_eta_norm,route_mean_chosen_density,route_mean_chosen_first_density,route_mean_balance_reward,route_mean_eta_delta_steps,route_mean_density_relief,route_mean_required_relief,route_selfless_detour_rate,route_bad_detour_rate,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,loop_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,snapshot_cache_hits,shortest_path_cache_hits,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,policy_masked_actions_removed,decision_pending_at_episode_end,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_observe_resolution_rate,tail_vehicles_over_p90_count,tail_completion_gap_steps,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,p95_to_p50_travel_ratio,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_forced_single_path,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,coordination_pending_reservations_seeded,coordination_pressure_candidates_seen,coordination_pressure_candidates_rejected,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,proactive_shift2_candidates_seen,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,lane_now_replan_releases,lane_now_replan_forced_alternative,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio,noncompletion_rate,uncontrolled_total_wait_steps,mean_uncontrolled_wait_per_step,route_detour_reward_congested_mean,route_detour_reward_light_mean,route_detour_congested_count,route_detour_light_count
0,1,1,mappo,0,1861,1861,-0.00954340587486513,-26996.915611095435,-112.48714837956432,0.5298190759494901,0.925141479820013,0.15,0.0006577790063602151,0.16296912581310607,0.9958333333333333,472.86401673640165,477.0,716.0000000000001,3,2,1,238,0.0,0.0,1862.0,5266.0,5266.0,103384.0,0.0,874.0,455.0,394.0,139.0,406.0,158.0,648.0,650.0,0.5306122448979592,2.828141783029001,0.0015612569163432374,0.24185351597667382,0.034824120567033164,0.8021020643562119,0.8864712748117844,1.0283204318483532,11.319179992030438,0.07217079204733245,0.005882997384194746,0.5300751879699248,0.0005370569280343716,105246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0350514300757818,12.899999618530273,0,312.0,2.0,1.0,0.0,24,319.72916666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19366893177016897,1.5933962264150943,0.0,0.008333333333333333,0.0,0.0,105246.0,8962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,35695.0,35.94662638469285,1.939123590437774,0.8176603395508096,987.0,1.0
1,2,1,mappo,0,1857,3718,-0.007527346322603989,-22269.944427692804,-92.79143511538669,0.3453896353021264,0.9228626899421215,0.14795918367346939,0.0011063377405662322,0.19978384778369218,0.9958333333333333,447.94142259414224,454.5,640.6,3,2,1,238,0.0,0.0,1858.0,5253.0,5253.0,97847.0,0.0,868.0,464.0,367.0,159.0,404.0,163.0,641.0,650.0,0.5328310010764262,2.827233584499462,0.04267489819299225,0.2419268013097434,0.0348346727685672,0.8028506597121065,0.8866841483117353,1.0125572841070043,11.45010618912006,0.0676983557279269,0.005928918138300034,0.5317545748116254,0.001076426264800861,99705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0392782692825582,12.800000190734863,0,283.0,2.0,1.0,0.0,24,275.22916666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18298551029821475,1.5353135313531352,0.0,0.008333333333333333,0.0,0.0,99705.0,9012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,1996.0,2.1324786324786325,1.9044852326539101,-0.14998799562454224,988.0,2.0
2,3,1,mappo,0,1856,5574,-0.011545116038178094,-22545.796737088243,-93.94081973786768,0.4117002272978425,0.9127034470438957,0.14591836734693878,0.0022256017050494847,0.21979980519972742,0.9958333333333333,451.0439330543933,409.0,666.2,2,1,0,239,0.0,0.0,1857.0,5236.0,5236.0,98476.0,0.0,855.0,436.0,402.0,164.0,411.0,157.0,645.0,644.0,0.5395799676898223,2.8196015078082928,0.08194922075512096,0.24191908818791485,0.03483356218975625,0.807178328779672,0.8925779660432471,1.0193443795664066,11.504733493139362,0.06759505912055,0.0059440940256582754,0.5374259558427571,0.002154011847065159,100333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0225117675148372,13.338888645172114,0,282.0,1.0,1.0,0.0,24,356.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931434735270292,1.820904645476772,0.0,0.004166666666666667,0.0,0.0,100333.0,6696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,3770.0,3.9352818371607516,1.893222488846066,-0.14998799562454224,1000.0,2.0
3,4,1,mappo,0,1832,7406,-0.010688238842703868,-19599.86377088888,-81.66609904537033,0.36301805172115564,0.9171889126300812,0.14387755102040817,0.0014185671152517898,0.21275865868665278,0.9958333333333333,433.1506276150628,452.0,631.8000000000001,2,1,0,239,0.0,0.0,1833.0,5196.0,5196.0,94547.0,0.0,815.0,483.0,400.0,135.0,397.0,148.0,649.0,639.0,0.5553737043098745,2.834697217675941,0.12076976407467668,0.2449024804891684,0.03526313634476519,0.8150066936513601,0.8911058860599783,1.036247423896017,11.999039649963379,0.06402078619107945,0.006085344125400848,0.5531914893617021,0.002182214948172395,96380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0097469014479965,12.133333206176758,0,287.0,1.0,1.0,0.0,24,255.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19065288060620178,1.4759955752212388,0.0,0.004166666666666667,0.0,0.0,96380.0,7673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2134.0,2.292158968850698,1.8698243149533942,-0.14998799562454224,1016.0,2.0
4,5,1,mappo,0,1820,9226,-0.008086243411526084,-21963.719597112955,-91.51549832130398,0.41372052300721407,0.9144753701984882,0.14183673469387756,0.00153230212526978,0.24167428771033883,1.0,450.7916666666667,457.75,690.4,1,1,1,239,0.0,0.0,1820.0,5169.0,5169.0,98324.0,0.0,770.0,506.0,388.0,156.0,393.0,142.0,648.0,637.0,0.5769230769230769,2.8401098901098902,0.13826449607591051,0.24642513560561033,0.03548238109848411,0.8010894240483969,0.8756742785981559,1.077266504042164,12.312201399069567,0.06897926679029374,0.006194266712584879,0.5752747252747252,0.0016483516483516484,100144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.98274187311976,12.399999618530273,0,256.0,1.0,0.0,0.0,24,325.58333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21413870659641998,1.6322228290551604,0.0,0.004166666666666667,0.0,0.0,100144.0,7624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,1.8691849622043497,-0.14998799562454224,1049.0,1.0
5,6,1,mappo,0,1784,11010,-0.006177063020004425,-6282.424378605499,-26.17676824418958,0.15022886428050697,0.9142431002110243,0.13979591836734692,-0.0013419983142739511,0.19425521267112345,1.0,364.9458333333333,339.0,487.79999999999995,1,1,1,239,0.0,0.0,1784.0,5063.0,5063.0,78746.0,0.0,740.0,508.0,389.0,147.0,392.0,132.0,633.0,627.0,0.5852017937219731,2.838004484304933,0.12203370179195842,0.24861967313884353,0.03579836920104219,0.8334615438813219,0.9080136831737052,1.0255403693694356,12.742253708999788,0.0508340922795649,0.006314800740736363,0.5846412556053812,0.0005605381165919282,80530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9865107499654711,12.0,0,290.0,1.0,0.0,0.0,24,241.04166666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1405097217623621,1.6898230088495572,0.0,0.004166666666666667,0.0,0.0,80530.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,19844.0,24.468557336621455,1.7524559568535183,0.0,1044.0,0.0
6,7,1,mappo,0,1807,12817,-0.009751253754075151,-14457.05463436168,-60.23772764317367,0.30041943304240704,0.9006903879344463,0.1377551020408163,0.0011137176252304926,0.23044848022982478,0.9958333333333333,406.2928870292887,414.5,570.2,2,1,0,239,0.0,0.0,1808.0,5115.0,5115.0,88174.0,0.0,775.0,511.0,356.0,166.0,398.0,138.0,647.0,625.0,0.5713495575221239,2.8290929203539825,0.18764652966200251,0.24622510890352778,0.03545357955648539,0.8204113829075318,0.897036162731485,1.0332446576715395,12.155000618865005,0.06068050510624883,0.00613917152466307,0.5696902654867256,0.00165929203539823,89982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0086186616480248,12.654444885253891,0,260.0,1.0,1.0,0.0,24,242.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795015877382211,1.5071170084439085,0.0,0.004166666666666667,0.0,0.0,89982.0,5862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,0.0,0.0,1.8122272716405359,-0.14998799562454224,1031.0,2.0
7,8,1,mappo,0,1790,14607,-0.013821605272823945,-15664.26236805246,-65.26775986688524,0.3458020370453596,0.8783827945590019,0.1357142857142857,0.0013502122592399246,0.2555364165455103,0.9958333333333333,418.80125523012555,373.0,647.4000000000001,2,1,0,239,0.0,0.0,1791.0,5041.0,5041.0,90853.0,0.0,770.0,494.0,376.0,151.0,421.0,114.0,632.0,624.0,0.570072585147962,2.8146286990508096,0.2266133356379737,0.24673366663943183,0.0355268059972318,0.8159717097233654,0.8911594160281133,1.0281100994967223,12.280424164367881,0.05963775845561689,0.0061807867710225286,0.5678391959798995,0.002233389168062535,92644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9934692039184777,12.899999618530273,0,294.0,1.0,1.0,0.0,24,334.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18666630382600635,1.8219839142091154,0.0,0.004166666666666667,0.0,0.0,92644.0,4724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,3553.0,3.8958333333333335,1.8073063436603323,-0.14998799562454224,1019.0,2.0
8,9,1,mappo,0,1777,16384,-0.008844019976095296,-11577.051699842319,-48.237715416009664,0.32633289974182844,0.879714660346508,0.1336734693877551,0.0011622971614997368,0.24232502235099673,0.9958333333333333,392.51673640167365,374.5,563.1,2,1,0,239,0.0,0.0,1778.0,5041.0,5041.0,85028.0,0.0,717.0,535.0,384.0,142.0,393.0,125.0,642.0,618.0,0.5967379077615298,2.8352080989876267,0.248470809029916,0.24914580816979215,0.03587412659426642,0.82430967717553,0.9007448528545486,1.0454263113295714,12.734638818605678,0.055412535549658255,0.006322653310005685,0.594488188976378,0.0022497187851518562,86806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9733436104955518,12.800000190734863,0,291.0,1.0,1.0,0.0,24,253.35416666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684529537187065,1.5953271028037381,0.0,0.004166666666666667,0.0,0.0,86806.0,3619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,111.0,0.12729357798165136,1.7572948445471188,-0.14998799562454224,1058.0,3.0
9,10,1,mappo,0,1757,18141,-0.008107923553325236,-7461.961945734523,-31.09150810722718,0.21263798279687762,0.8778675012290478,0.13163265306122449,0.0021276603583828546,0.18398896139115095,0.9958333333333333,365.97907949790795,319.0,500.70000000000005,2,1,0,239,0.0,0.0,1758.0,4982.0,4982.0,79241.0,0.0,712.0,531.0,379.0,136.0,396.0,113.0,636.0,613.0,0.5949943117178612,2.8339021615472126,0.27152699740249686,0.2502915227787826,0.03603909629215916,0.8292126211179346,0.9020324980202253,1.0362181801887436,12.787372459730598,0.05204426660870772,0.006330089561425819,0.5927189988623436,0.0022753128555176336,80999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9419763476103999,12.266666412353516,0,246.0,1.0,1.0,0.0,24,268.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15524854687310374,1.7219435736677116,0.0,0.004166666666666667,0.0,0.0,80999.0,3642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,443.0,0.5255041518386714,1.747000503124338,-0.14998799562454224,1043.0,3.0
