episode,updates_cumulative,updates_episode,algorithm,transitions_buffered,transitions_collected_episode,transitions_collected_cumulative,policy_loss,episode_return_total,avg_return_per_vehicle,value_loss,entropy,entropy_coef_effective,approx_kl,clip_fraction,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,critic_only_queued,route_decisions_total,route_candidate_count,route_feasible_candidate_count,route_actor_ownership_skips,route_no_feasible_candidates,route_choice_idx_0,route_choice_idx_1,route_choice_idx_2,route_choice_idx_3,route_valid_candidates_1,route_valid_candidates_2,route_valid_candidates_3,route_valid_candidates_4,route_choice_nonzero_rate,route_mean_valid_candidates,route_mean_logit_margin,route_mean_chosen_length_norm,route_mean_chosen_eta_norm,route_mean_chosen_density,route_mean_chosen_first_density,route_mean_balance_reward,route_mean_eta_delta_steps,route_mean_density_relief,route_mean_required_relief,route_selfless_detour_rate,route_bad_detour_rate,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,loop_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,snapshot_cache_hits,shortest_path_cache_hits,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,policy_masked_actions_removed,decision_pending_at_episode_end,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_observe_resolution_rate,tail_vehicles_over_p90_count,tail_completion_gap_steps,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,p95_to_p50_travel_ratio,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_forced_single_path,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,coordination_pending_reservations_seeded,coordination_pressure_candidates_seen,coordination_pressure_candidates_rejected,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,proactive_shift2_candidates_seen,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,lane_now_replan_releases,lane_now_replan_forced_alternative,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio,noncompletion_rate,uncontrolled_total_wait_steps,mean_uncontrolled_wait_per_step,route_detour_reward_congested_mean,route_detour_reward_light_mean,route_detour_congested_count,route_detour_light_count
0,1,1,mappo,0,1861,1861,-0.009146445634542033,-44778.79594347908,-186.57831643116285,0.5261738132685423,0.9251572322100401,0.15,0.0006564937084476696,0.1578848039789591,0.9958333333333333,472.86401673640165,477.0,716.0000000000001,3,2,1,238,0.0,0.0,1862.0,5266.0,5266.0,103384.0,0.0,874.0,455.0,394.0,139.0,406.0,158.0,648.0,650.0,0.5306122448979592,2.828141783029001,0.0015612569163432374,0.24185351597667382,0.034824120567033164,0.8021020643562119,0.8864712748117844,1.0283204318483532,11.319179992030438,0.07217079204733245,0.005882997384194746,0.5300751879699248,0.0005370569280343716,105246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0350514300757818,12.899999618530273,0,312.0,2.0,1.0,0.0,24,319.72916666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19366893177016897,1.5933962264150943,0.0,0.008333333333333333,0.0,0.0,105246.0,8962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,35695.0,35.94662638469285,1.939123590437774,0.8176603395508096,987.0,1.0
1,2,1,mappo,0,1851,3712,-0.0091966696199961,-38454.48713800198,-160.22702974167493,0.32584358751773834,0.925417385995388,0.14795918367346939,0.002754647319761716,0.2577526294917334,0.9958333333333333,449.5857740585774,416.0,686.8000000000001,3,2,1,238,0.0,0.0,1852.0,5255.0,5255.0,98392.0,0.0,853.0,472.0,374.0,153.0,407.0,145.0,642.0,658.0,0.5394168466522679,2.837473002159827,0.04279110329396636,0.24301093241067093,0.03499077518468574,0.8036978690247363,0.8811456498601443,1.0206567564274156,11.370580229851907,0.06965844586293243,0.005906657810260017,0.5383369330453563,0.0010799136069114472,100244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.030745595462021,11.501666259765619,0,276.0,1.0,2.0,0.0,24,358.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964006246069776,1.8485576923076923,0.0,0.008333333333333333,0.0,0.0,100244.0,9205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2771.0,2.922995780590717,1.8962450239667228,-0.14998799562454224,997.0,2.0
2,3,1,mappo,0,1822,5534,-0.012068635114701465,-28373.41998680084,-118.22258327833683,0.27222839975729585,0.9250096417963505,0.14591836734693878,0.0006917758628333104,0.21046842483337969,0.9958333333333333,414.2803347280335,406.5,609.2,2,1,0,239,0.0,0.0,1823.0,5179.0,5179.0,90127.0,0.0,802.0,467.0,391.0,163.0,388.0,155.0,639.0,641.0,0.56006582556226,2.8409215578716402,0.07877207739412523,0.2452345019103208,0.035310943549661376,0.8158557310693264,0.8934621776183899,1.0322640765294009,11.985875591104396,0.06251374429358068,0.006084063213023602,0.5595172792100932,0.0005485463521667581,91950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9888096409247418,12.600000381469727,0,288.0,1.0,1.0,0.0,24,295.16666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18338228440228077,1.7178351783517833,0.0,0.004166666666666667,0.0,0.0,91950.0,6425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2400.0,2.6344676180021955,1.8441174031113206,0.8176603395508096,1020.0,1.0
3,4,1,mappo,0,1826,7360,-0.007066721396768116,-44129.713503328414,-183.8738062638684,0.5510195670649409,0.9201623182743788,0.14387755102040817,0.0015422028973262059,0.16476377291837707,0.9916666666666667,468.24789915966386,497.0,708.95,4,2,0,238,0.0,0.0,1828.0,5186.0,5186.0,103077.0,0.0,804.0,485.0,406.0,133.0,395.0,149.0,643.0,641.0,0.5601750547045952,2.836980306345733,0.11320425039748264,0.24535352671090963,0.035328081771283035,0.800589912388111,0.8830217140669684,1.0518400377495385,12.15985828859801,0.06708873974890858,0.006142580615382835,0.5574398249452954,0.002735229759299781,104905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,2,1.0153032728897493,12.98888874053955,0,293.0,2.0,2.0,0.0,24,288.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22564966512254792,1.5070422535211268,0.0,0.008333333333333333,0.0,0.0,104905.0,8794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.008333333333333304,1489.0,1.4845463609172482,1.8787350231345117,0.8176603395508096,1023.0,1.0
4,5,1,mappo,0,1820,9180,-0.009139474932453595,-27487.240840946317,-114.53017017060965,0.24733129935339093,0.9132991228252649,0.14183673469387756,0.00175844402929215,0.20737596927210689,0.9958333333333333,409.4665271966527,396.5,594.5000000000001,2,1,0,239,0.0,0.0,1821.0,5167.0,5167.0,88989.0,0.0,792.0,507.0,362.0,160.0,395.0,146.0,640.0,640.0,0.5650741350906096,2.8374519494783086,0.1352840915469597,0.24568917999583112,0.035376411998713005,0.817097240502249,0.8890663772874615,1.0466771854552588,12.1571818529283,0.06389757489541956,0.006136005540288062,0.5634266886326195,0.0016474464579901153,90810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9514178962446534,11.833333969116211,0,298.0,1.0,1.0,0.0,24,288.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917064278235998,1.7063051702395964,0.0,0.004166666666666667,0.0,0.0,90810.0,6270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,775.0,0.8315450643776824,1.8561822110080577,-0.14998799562454224,1027.0,2.0
5,6,1,mappo,0,1802,10982,-0.00940560559683945,-22024.77844042923,-91.76991016845513,0.19637597352266312,0.9065807703882456,0.13979591836734692,6.968456227696151e-05,0.19469297165051103,1.0,387.45416666666665,356.0,540.15,1,1,1,239,0.0,0.0,1802.0,5105.0,5105.0,83818.0,0.0,759.0,512.0,372.0,159.0,399.0,132.0,642.0,629.0,0.5788013318534961,2.8329633740288567,0.1388178824113225,0.24712125247511826,0.035582613919889525,0.8245333101932212,0.8974240362064315,1.0307139809473862,12.385246253569303,0.05708099704309246,0.006213638027652816,0.5771365149833518,0.001664816870144284,85620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9852115272025499,11.887778186798094,0,262.0,1.0,0.0,0.0,24,278.41666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16655845494269927,1.678370786516854,0.0,0.004166666666666667,0.0,0.0,85620.0,5116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,10151.0,11.789779326364693,1.7817036975279918,0.8113408430226268,1042.0,1.0
6,7,1,mappo,0,1804,12786,-0.0066866631677839905,-24292.668583315022,-101.21945243047927,0.22306023770943284,0.9019217565655708,0.1377551020408163,-2.7210075131733902e-05,0.21058495249599218,0.9958333333333333,396.06066945606693,369.0,566.4000000000001,2,1,0,239,0.0,0.0,1805.0,5112.0,5112.0,85962.0,0.0,777.0,501.0,354.0,173.0,397.0,133.0,651.0,624.0,0.5695290858725762,2.8321329639889194,0.18474776749795824,0.2466481977181091,0.03551449951434565,0.8248099366804054,0.8979302106249737,1.0206605699543068,12.105402328301004,0.05750362463759593,0.00611441587996633,0.5673130193905818,0.00221606648199446,87767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9601787891101179,11.51111125946045,0,263.0,1.0,1.0,0.0,24,269.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17345236387407437,1.6504065040650406,0.0,0.004166666666666667,0.0,0.0,87767.0,4642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,0.0,0.0,1.7958989325134238,-0.14998799562454224,1026.0,2.0
7,8,1,mappo,0,1790,14576,-0.010534161541727372,-29340.633542919903,-122.25263976216625,0.3737734258174896,0.8838878627866507,0.1357142857142857,-0.0002371091259192326,0.2658667368814349,1.0,419.37083333333334,392.25,636.3,1,1,1,239,0.0,0.0,1790.0,5049.0,5049.0,90903.0,0.0,756.0,519.0,351.0,164.0,412.0,118.0,639.0,621.0,0.5776536312849162,2.8206703910614523,0.2043789887665537,0.24734287536677035,0.03561452505641809,0.823089210653688,0.8988098022732532,1.021338150682431,12.387835348118617,0.055383961507159817,0.006211754191664059,0.576536312849162,0.0011173184357541898,92693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,1.0067969413763806,12.533332824707031,0,270.0,1.0,0.0,0.0,24,318.27083333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19564621440186514,1.7310388782664117,0.0,0.004166666666666667,0.0,0.0,92693.0,4272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,8149.0,9.044395116537181,1.7699373453215643,-0.14998799562454224,1033.0,1.0
8,9,1,mappo,0,1779,16355,-0.011701065785018727,-25296.908322197927,-105.4037846758247,0.30540382489562035,0.8839775118976831,0.1336734693877551,0.002527899022879865,0.2681093546561897,0.9958333333333333,399.60251046025104,387.0,574.5,2,1,0,239,0.0,0.0,1780.0,5051.0,5051.0,86720.0,0.0,724.0,528.0,384.0,144.0,392.0,123.0,647.0,618.0,0.5932584269662922,2.837640449438202,0.2564052091932364,0.24926615002868552,0.035891454441347316,0.8178067105864122,0.8968169745408375,1.0594945548402805,12.689995584862956,0.059651612467628796,0.006311761049882562,0.5910112359550562,0.0022471910112359553,88500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9987172439069085,12.279999732971165,0,272.0,1.0,1.0,0.0,25,256.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17359107794965278,1.652454780361757,0.0,0.004166666666666667,0.0,0.0,88500.0,5034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,6.0,0.006928406466512702,1.7895638364392301,-0.14998799562454224,1054.0,2.0
9,10,1,mappo,0,1755,18110,-0.006205570993188303,-20960.299803016358,-87.33458251256816,0.2444996451959014,0.8675479739904404,0.13163265306122449,0.0012285157399674063,0.22000358812510967,1.0,387.5625,359.5,549.05,1,1,1,239,0.0,0.0,1755.0,4962.0,4962.0,83721.0,0.0,723.0,550.0,345.0,137.0,405.0,107.0,629.0,614.0,0.588034188034188,2.8273504273504275,0.25738695548725266,0.25023147977060745,0.03603045077957319,0.8288907102757582,0.8960736818330368,1.050812551081177,12.870764752738497,0.055032815346331414,0.006352520698795518,0.5863247863247864,0.0017094017094017094,85476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9704608070876777,14.0,0,276.0,1.0,0.0,0.0,24,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1673270888207996,1.7180806675938802,0.0,0.004166666666666667,0.0,0.0,85476.0,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,7501.0,8.681712962962964,1.788871013717837,-0.14998799562454224,1031.0,1.0
