episode,updates_cumulative,updates_episode,algorithm,transitions_buffered,transitions_collected_episode,transitions_collected_cumulative,policy_loss,episode_return_total,avg_return_per_vehicle,value_loss,entropy,entropy_coef_effective,approx_kl,clip_fraction,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,critic_only_queued,route_decisions_total,route_candidate_count,route_feasible_candidate_count,route_actor_ownership_skips,route_no_feasible_candidates,route_choice_idx_0,route_choice_idx_1,route_choice_idx_2,route_choice_idx_3,route_valid_candidates_1,route_valid_candidates_2,route_valid_candidates_3,route_valid_candidates_4,route_choice_nonzero_rate,route_mean_valid_candidates,route_mean_logit_margin,route_mean_chosen_length_norm,route_mean_chosen_eta_norm,route_mean_chosen_density,route_mean_chosen_first_density,route_mean_balance_reward,route_mean_eta_delta_steps,route_mean_density_relief,route_mean_required_relief,route_selfless_detour_rate,route_bad_detour_rate,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,loop_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,snapshot_cache_hits,shortest_path_cache_hits,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,policy_masked_actions_removed,decision_pending_at_episode_end,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_observe_resolution_rate,tail_vehicles_over_p90_count,tail_completion_gap_steps,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,p95_to_p50_travel_ratio,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_forced_single_path,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,coordination_pending_reservations_seeded,coordination_pressure_candidates_seen,coordination_pressure_candidates_rejected,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,proactive_shift2_candidates_seen,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,lane_now_replan_releases,lane_now_replan_forced_alternative,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio,noncompletion_rate,uncontrolled_total_wait_steps,mean_uncontrolled_wait_per_step,route_detour_reward_congested_mean,route_detour_reward_light_mean,route_detour_congested_count,route_detour_light_count
0,1,1,mappo,0,1865,1865,-0.005982195900287479,-30643.26441980367,-127.68026841584862,0.4663619166240096,0.9308207537978888,0.15,0.0012650544431380695,0.09932794541236944,0.9916666666666667,460.18277310924367,470.75,669.45,4,2,0,238,0.0,0.0,1867.0,5302.0,5302.0,101176.0,0.0,873.0,434.0,403.0,157.0,393.0,167.0,653.0,654.0,0.5324049276914836,2.839850026780932,0.003674728886174945,0.24181172833940084,0.03481810364570922,0.8019132561957734,0.8877661146361223,1.006486728158091,11.163541441878088,0.06834158137430385,0.00583419077705995,0.5313336904124264,0.0010712372790573112,103043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,2,1.0561924468721497,12.411110877990723,0,302.0,2.0,2.0,0.0,24,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18790508985965304,1.5541157727031332,0.0,0.008333333333333333,0.0,0.0,103043.0,10456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.008333333333333304,1308.0,1.3739495798319328,1.892508267338147,-0.14998799562454224,993.0,1.0
1,2,1,mappo,0,1834,3699,-0.00775221484946087,-26947.34104573712,-112.28058769057134,0.3388975318521261,0.9253367111086845,0.14795918367346939,-0.00042414078325236915,0.1923799454816617,0.9958333333333333,451.3619246861925,457.5,649.0000000000002,2,1,0,239,0.0,0.0,1835.0,5204.0,5204.0,98647.0,0.0,813.0,453.0,396.0,173.0,406.0,140.0,638.0,651.0,0.5569482288828338,2.835967302452316,0.029305595955341972,0.24433923526908136,0.03518203547280231,0.8058237718552737,0.8892789934246043,1.0207062139725813,11.730941216367468,0.06445159989692022,0.006016493665487131,0.5547683923705722,0.0021798365122615805,100482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0218036118918181,12.600000381469727,0,291.0,1.0,1.0,0.0,24,304.35416666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19102851964653422,1.609071038251366,0.0,0.004166666666666667,0.0,0.0,100482.0,8620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2237.0,2.330208333333333,1.8365645868930744,-0.14998799562454224,1020.0,2.0
2,3,1,mappo,0,1827,5526,-0.0064691311126807705,-23008.327986228524,-95.86803327595219,0.3492791932076216,0.916712949052453,0.14591836734693878,0.00041616000089561567,0.24133992980932817,0.9958333333333333,427.5083682008368,419.0,643.9000000000001,2,1,0,239,0.0,0.0,1828.0,5171.0,5171.0,93111.0,0.0,807.0,469.0,366.0,186.0,408.0,137.0,643.0,640.0,0.5585339168490153,2.828774617067834,0.0688249494424966,0.24454663395148007,0.03521189850111058,0.81215641935788,0.8888436719964725,1.0345875784353586,11.766016724594834,0.06631917881152738,0.0060282064733479515,0.5557986870897156,0.002735229759299781,94939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.96774632288651,12.666666984558105,0,270.0,1.0,1.0,0.0,24,326.85416666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20420016940826757,1.7570405727923628,0.0,0.004166666666666667,0.0,0.0,94939.0,7572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,3762.0,3.914672216441207,1.8553075770715501,0.3338361719631337,1019.0,2.0
3,4,1,mappo,0,1821,7347,-0.0064927183939289534,-20249.944496103522,-84.37476873376468,0.19520975928753614,0.9096216671168804,0.14387755102040817,0.0025284934545197757,0.2243905058130622,0.9958333333333333,420.5878661087866,395.0,595.1000000000001,2,1,0,239,0.0,0.0,1822.0,5158.0,5158.0,91415.0,0.0,809.0,470.0,369.0,174.0,397.0,146.0,647.0,632.0,0.5559824368825467,2.8309549945115258,0.12002702252469082,0.2448922869811728,0.03526166859660482,0.8167662053495752,0.8845928302494774,1.04767163285534,11.814641675101154,0.06847291944409713,0.006023975341479499,0.5537870472008781,0.0021953896816684962,93237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0439852525079312,12.343333435058561,0,325.0,1.0,1.0,0.0,24,286.39583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16296677883665733,1.6672151898734175,0.0,0.004166666666666667,0.0,0.0,93237.0,5895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,66.0,0.07577497129735936,1.8863712480810808,-0.14998799562454224,1012.0,1.0
4,5,1,mappo,0,1819,9166,-0.010405165900010616,-16361.575046567244,-68.17322936069685,0.21594125544652343,0.9127663094550371,0.14183673469387756,0.0017067731896531768,0.23579972982406616,0.9958333333333333,400.31799163179915,380.5,585.6,2,1,0,239,0.0,0.0,1820.0,5170.0,5170.0,86712.0,0.0,807.0,515.0,352.0,146.0,392.0,145.0,644.0,639.0,0.5565934065934066,2.840659340659341,0.14558778257610705,0.24560095979371568,0.03536370933762045,0.8199606054145229,0.8929772819156994,1.0124424764624793,11.94629661853497,0.05927826933112115,0.006070699907152628,0.5543956043956044,0.002197802197802198,88532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9668563671487495,11.733333587646484,0,295.0,1.0,1.0,0.0,24,300.02083333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17609453698421862,1.7374507227332454,0.0,0.004166666666666667,0.0,0.0,88532.0,6045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,946.0,1.058165548098434,1.8228934551463516,-0.14998799562454224,1011.0,2.0
5,6,1,mappo,0,1794,10960,-0.006543475803482579,-16385.488903575635,-68.27287043156515,0.2669040714390576,0.9027380812913179,0.13979591836734692,0.0017213502133017755,0.24685976468026638,0.9958333333333333,397.1610878661088,378.0,546.0,2,1,0,239,0.0,0.0,1795.0,5079.0,5079.0,86088.0,0.0,795.0,489.0,376.0,135.0,406.0,121.0,641.0,627.0,0.5571030640668524,2.829526462395543,0.15866149350959277,0.246995123660498,0.03556445278798056,0.8219795896051696,0.89780439814672,1.0074546930460306,12.082598421899057,0.056550837839710114,0.006107933990494928,0.5554317548746518,0.001671309192200557,87883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0044297984981903,14.0,0,267.0,1.0,1.0,0.0,24,257.33333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611245954237852,1.646164021164021,0.0,0.004166666666666667,0.0,0.0,87883.0,5193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,10440.0,12.083333333333334,1.8093728865646386,0.8176603395508096,999.0,1.0
6,7,1,mappo,0,1789,12749,-0.006537642941111699,-19544.589844641185,-81.43579101933827,0.4713283833116293,0.8925269450992346,0.1377551020408163,0.0020331285795691656,0.2379673917312175,1.0,409.7125,374.0,604.0,0,0,0,240,0.0,0.0,1789.0,5068.0,5068.0,88729.0,0.0,761.0,516.0,357.0,155.0,402.0,128.0,626.0,633.0,0.5746226942425936,2.8328675237562884,0.21058530876357806,0.24758943369796385,0.035650026588349315,0.823377983476977,0.8973573308433898,1.0337877543495837,12.475245248145269,0.057274526075943036,0.0062371361480269265,0.5740637227501397,0.0005589714924538849,90518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9817223998923629,13.333333015441895,0,256.0,0.0,0.0,0.0,24,305.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18373113938296837,1.7330213903743314,0.0,0.0,0.0,0.0,90518.0,4280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,1.7990722689994214,0.0,1028.0,0.0
7,8,1,mappo,0,1775,14524,-0.009097005386138335,-10937.620729597014,-45.57341970665423,0.20560386218130589,0.8927004430443048,0.1357142857142857,0.0005135705687280279,0.18616846157237887,1.0,375.84583333333336,337.25,540.8,1,1,1,239,0.0,0.0,1775.0,5034.0,5034.0,81359.0,0.0,722.0,525.0,400.0,128.0,392.0,126.0,638.0,619.0,0.5932394366197183,2.836056338028169,0.23424404234743454,0.24958098425831593,0.03593678692591862,0.8256636118164784,0.9029895669578667,1.042028816475862,12.948822788453437,0.05272649528783186,0.0063782771907350405,0.592112676056338,0.0011267605633802818,83134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9793720969276399,12.0,0,236.0,1.0,0.0,0.0,24,283.95833333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16515752432476383,1.8094885100074125,0.0,0.004166666666666667,0.0,0.0,83134.0,4726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,2027.0,2.4304556354916067,1.7601342771036195,-0.14998799562454224,1051.0,2.0
8,9,1,mappo,0,1774,16298,-0.012940043408889323,-19248.54831588964,-80.20228464954016,0.3537611113861203,0.87543617002666,0.1336734693877551,0.0002712041012955524,0.2363912151195109,1.0,416.44166666666666,394.0,590.25,0,0,0,240,0.0,0.0,1774.0,5018.0,5018.0,90439.0,0.0,726.0,529.0,366.0,153.0,399.0,125.0,631.0,619.0,0.5907553551296505,2.8286358511837655,0.2640525936374804,0.24896420348171047,0.03584797757445691,0.8148599685846462,0.8961720176029576,1.050433876704223,12.86481026732263,0.056848143169886296,0.006363404186306431,0.5879368658399098,0.002818489289740699,92213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9985908780073357,12.800000190734863,0,267.0,0.0,0.0,0.0,24,268.64583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17277938420080186,1.5949873096446696,0.0,0.0,0.0,0.0,92213.0,3789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,909.0,1.0088790233074363,1.7818065709986046,-0.14998799562454224,1046.0,2.0
9,10,1,mappo,0,1766,18064,-0.010853352898266166,-6792.606343841392,-28.30252643267247,0.15913343103602529,0.872734297066927,0.13163265306122449,0.0016991581569527625,0.2171524683944881,1.0,352.5416666666667,321.75,473.5,1,1,1,239,0.0,0.0,1766.0,5002.0,5002.0,76025.0,0.0,691.0,569.0,358.0,148.0,399.0,116.0,633.0,618.0,0.6087202718006794,2.8323895809739525,0.26846086680214104,0.2503362100482797,0.036045530722882614,0.8368305285357884,0.9047877245222978,1.0603081933328344,13.167689038295032,0.05210670383781601,0.0064477743226405175,0.6064552661381654,0.0022650056625141564,77791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9626168224299065,12.834999990463247,0,269.0,1.0,0.0,0.0,24,242.64583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13740530079186852,1.706682206682206,0.0,0.004166666666666667,0.0,0.0,77791.0,3325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,136.0,0.17150063051702397,1.7436259380087615,-0.14998799562454224,1074.0,1.0
