episode,updates_cumulative,updates_episode,algorithm,transitions_buffered,transitions_collected_episode,transitions_collected_cumulative,policy_loss,episode_return_total,avg_return_per_vehicle,value_loss,entropy,entropy_coef_effective,approx_kl,clip_fraction,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,critic_only_queued,route_decisions_total,route_candidate_count,route_feasible_candidate_count,route_actor_ownership_skips,route_no_feasible_candidates,route_choice_idx_0,route_choice_idx_1,route_choice_idx_2,route_choice_idx_3,route_valid_candidates_1,route_valid_candidates_2,route_valid_candidates_3,route_valid_candidates_4,route_choice_nonzero_rate,route_mean_valid_candidates,route_mean_logit_margin,route_mean_chosen_length_norm,route_mean_chosen_eta_norm,route_mean_chosen_density,route_mean_chosen_first_density,route_mean_balance_reward,route_mean_eta_delta_steps,route_mean_density_relief,route_mean_required_relief,route_selfless_detour_rate,route_bad_detour_rate,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,loop_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,snapshot_cache_hits,shortest_path_cache_hits,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,policy_masked_actions_removed,decision_pending_at_episode_end,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_observe_resolution_rate,tail_vehicles_over_p90_count,tail_completion_gap_steps,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,p95_to_p50_travel_ratio,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_forced_single_path,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,coordination_pending_reservations_seeded,coordination_pressure_candidates_seen,coordination_pressure_candidates_rejected,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,proactive_shift2_candidates_seen,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,lane_now_replan_releases,lane_now_replan_forced_alternative,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio,noncompletion_rate,uncontrolled_total_wait_steps,mean_uncontrolled_wait_per_step,route_detour_reward_congested_mean,route_detour_reward_light_mean,route_detour_congested_count,route_detour_light_count
0,1,1,mappo,0,1878,1878,-0.006397311888576951,-27425.539242568353,-114.27308017736814,0.47465786803513765,0.9345865901559591,0.15,0.002397254287643591,0.12987638777121902,0.9958333333333333,451.14016736401675,445.0,676.6000000000001,3,2,1,238,0.0,0.0,1879.0,5346.0,5346.0,98555.0,0.0,856.0,453.0,404.0,166.0,391.0,175.0,647.0,666.0,0.5444385311335816,2.845130388504524,0.002636479854211013,0.24182410683718814,0.034819885980320014,0.8080935497032682,0.8923429412119975,1.022224661162748,11.475398749858538,0.0671920763072731,0.005926715445685713,0.542309739222991,0.0021287919105907396,100434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.041436655731856,11.977777481079102,0,279.0,2.0,1.0,0.0,24,319.66666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1920536337858081,1.622808988764045,0.0,0.008333333333333333,0.0,0.0,100434.0,9891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,25100.0,26.64543524416136,1.8815476144133716,-0.14998799562454224,1021.0,2.0
1,2,1,mappo,0,1840,3718,-0.011117824877146631,-20665.336893661042,-86.10557039025434,0.31704379338771105,0.9325564652681351,0.14795918367346939,0.0006234365373529727,0.18492046202300116,0.9958333333333333,419.80125523012555,402.0,628.3000000000001,2,1,0,239,0.0,0.0,1841.0,5240.0,5240.0,91633.0,0.0,820.0,473.0,376.0,172.0,391.0,150.0,651.0,649.0,0.55458989679522,2.846279196089082,0.03235110844900788,0.24443916182424763,0.03519642375872988,0.8124392489699818,0.8973875468632734,0.9971370270552813,11.604720313286148,0.06008708313459012,0.005981018134689054,0.55458989679522,0.0,93474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0339827868419662,11.600000381469727,0,263.0,1.0,1.0,0.0,24,318.64583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18076531515972993,1.7450248756218905,0.0,0.004166666666666667,0.0,0.0,93474.0,7722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2167.0,2.4513574660633486,1.7989391431036765,0.8113408430226268,1020.0,1.0
2,3,1,mappo,0,1839,5557,-0.0037170560904087324,-21849.230305235113,-91.0384596051463,0.3123035905882716,0.9225670211017132,0.14591836734693878,0.0019213164865732324,0.23203028575517237,0.9958333333333333,425.51673640167365,425.0,611.1000000000001,2,1,0,239,0.0,0.0,1840.0,5226.0,5226.0,92927.0,0.0,844.0,455.0,385.0,156.0,398.0,147.0,646.0,649.0,0.5413043478260869,2.840217391304348,0.07400637721116451,0.2437703787430149,0.035100126728597705,0.8084568390642981,0.8904424305488963,1.0001222226653432,11.395827058864677,0.06366808371788432,0.005915940229571736,0.5413043478260869,0.0,94767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0016332456219943,11.822222709655762,0,254.0,1.0,1.0,0.0,24,282.91666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17473019919841404,1.5945882352941179,0.0,0.004166666666666667,0.0,0.0,94767.0,8093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,2094.0,2.26133909287257,1.847615351108666,0.0,996.0,0.0
3,4,1,mappo,0,1828,7385,-0.010217017921604565,-24414.569792629623,-101.72737413595677,0.3720380337908864,0.9253697711974382,0.14387755102040817,0.002092006674502045,0.18747157184407115,0.9958333333333333,435.91004184100416,435.5,639.5,2,1,0,239,0.0,0.0,1829.0,5213.0,5213.0,95397.0,0.0,795.0,484.0,384.0,166.0,382.0,157.0,643.0,647.0,0.5653362493165665,2.850191361399672,0.10941231310440909,0.2457319556436557,0.03538257116884678,0.8063629484481339,0.8772549640780397,1.0729012253640393,12.133528612688501,0.07098797818698684,0.006133391787585107,0.562055768179333,0.0032804811372334607,97226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.0243636583839648,12.288888931274414,0,311.0,1.0,1.0,0.0,24,282.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19042248339758627,1.5672789896670494,0.0,0.004166666666666667,0.0,0.0,97226.0,9051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,1264.0,1.3664864864864865,1.9017793771144156,-0.14998799562454224,1032.0,2.0
4,5,1,mappo,0,1828,9213,-0.009096956920984667,-20158.893061399333,-83.99538775583055,0.3497609216719866,0.9116883240640163,0.14183673469387756,0.0019690557155627175,0.20637909369543195,0.9958333333333333,414.31380753138075,410.5,605.5000000000003,2,1,0,239,0.0,0.0,1829.0,5176.0,5176.0,90218.0,0.0,807.0,477.0,374.0,171.0,407.0,137.0,645.0,640.0,0.5587752870420996,2.8299617277200655,0.12432244797468903,0.24458037004355462,0.035216756143641316,0.8109134690135416,0.8950855979021738,1.0070202519750437,11.749743036131445,0.06047298855783302,0.006027907162768373,0.5571350464734828,0.0016402405686167304,92047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9831877840764005,12.44444465637207,0,268.0,1.0,1.0,0.0,24,301.91666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194150397665108,1.6311814859926916,0.0,0.004166666666666667,0.0,0.0,92047.0,6855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,379.0,0.41466083150984684,1.8041038480489517,-0.14998799562454224,1021.0,1.0
5,6,1,mappo,0,1817,11030,-0.014110809774138033,-24237.40944538832,-100.98920602245133,0.44246814865618944,0.9024535845965147,0.13979591836734692,0.0018330940101805027,0.2210940970107913,0.9958333333333333,431.592050209205,379.5,629.2,2,1,0,239,0.0,0.0,1818.0,5133.0,5133.0,93890.0,0.0,808.0,483.0,383.0,144.0,404.0,138.0,651.0,625.0,0.5555555555555556,2.8234323432343236,0.14578762679997057,0.24503231401031692,0.03528183084432081,0.8154701905061744,0.8914382779116284,1.0220561705084052,11.840636486267492,0.06298732205222164,0.006036852313588318,0.5539053905390539,0.0016501650165016502,95708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9889968716595894,13.226666450500487,0,292.0,1.0,1.0,0.0,24,337.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20252286443627,1.8380764163372858,0.0,0.004166666666666667,0.0,0.0,95708.0,5816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,11950.0,12.552521008403362,1.8426889341670183,0.3338361719631337,1008.0,2.0
6,7,1,mappo,0,1819,12849,-0.010868201614357531,-25435.737374985052,-105.98223906243771,0.4025549916550517,0.9025347698479891,0.1377551020408163,0.003983442093158374,0.20634066872298717,0.9958333333333333,438.9937238493724,455.5,620.5000000000001,3,2,1,238,0.0,0.0,1820.0,5170.0,5170.0,96219.0,0.0,786.0,491.0,389.0,154.0,392.0,144.0,646.0,638.0,0.5681318681318681,2.840659340659341,0.21494537554067242,0.24575549283034198,0.035385960244297326,0.8079080759332731,0.892593486894659,1.0327187792666228,11.966075255320622,0.06378404744622361,0.006088316114759205,0.5659340659340659,0.002197802197802198,98039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,1.045360298248302,12.600000381469727,0,265.0,2.0,1.0,0.0,24,269.14583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19117940610415385,1.4832052689352357,0.0,0.008333333333333333,0.0,0.0,98039.0,8654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,0.0,0.0,1.819649725325148,-0.14998799562454224,1033.0,1.0
7,8,1,mappo,0,1790,14639,-0.00617339373275172,-12168.319421674678,-50.70133092364449,0.21346506429836154,0.9047071989625692,0.1357142857142857,0.0016392513080063509,0.1470697356853634,1.0,380.15833333333336,361.25,513.55,1,1,1,239,0.0,0.0,1790.0,5092.0,5092.0,82138.0,0.0,754.0,513.0,371.0,152.0,392.0,127.0,638.0,633.0,0.5787709497206703,2.844692737430168,0.18738517374341382,0.2484392441309697,0.03577238954447584,0.8281350162171618,0.9041531434048529,1.02224851581694,12.468275837392115,0.053531844944597166,0.006228353613836666,0.5770949720670391,0.0016759776536312849,83928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9815314612004551,12.800000190734863,0,284.0,1.0,0.0,0.0,24,261.10416666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15989312749804552,1.6744636678200688,0.0,0.004166666666666667,0.0,0.0,83928.0,5158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,1275.0,1.5232974910394266,1.768091624452123,-0.14998799562454224,1035.0,1.0
8,9,1,mappo,0,1779,16418,-0.006429813456634292,-12987.489196073859,-54.11453831697441,0.25230926321819425,0.8919822964817286,0.1336734693877551,0.0005469749039548333,0.232773014344275,0.9958333333333333,378.36401673640165,341.5,535.3000000000002,2,1,0,239,0.0,0.0,1780.0,5047.0,5047.0,81886.0,0.0,738.0,492.0,403.0,147.0,391.0,129.0,642.0,618.0,0.5853932584269663,2.8353932584269663,0.21334767671448462,0.24891853764067204,0.035841402269146415,0.8237717006543881,0.9006320936539932,1.0426147575637603,12.710218685396601,0.055827695262836874,0.006306417659980321,0.5848314606741573,0.0005617977528089888,83666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,1,0.9930528840714172,11.877778053283691,0,248.0,1.0,1.0,0.0,24,279.39583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17070291304613971,1.7878477306002927,0.0,0.004166666666666667,0.0,0.0,83666.0,4202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.004166666666666652,0.0,0.0,1.7829051454938691,-0.14998799562454224,1041.0,1.0
9,10,1,mappo,0,1789,18207,-0.01075611692158418,-14105.27081466868,-58.77196172778617,0.20351090701296926,0.8887109719216824,0.13163265306122449,0.003452573022514116,0.2022287747822702,1.0,389.2916666666667,391.0,534.75,1,1,1,239,0.0,0.0,1789.0,5096.0,5096.0,84439.0,0.0,724.0,503.0,383.0,179.0,382.0,135.0,644.0,628.0,0.5953046394633874,2.8485187255449973,0.2424634133781582,0.24902529173669632,0.03585677363067999,0.8262038574084981,0.9026117319357777,1.0511117885412782,12.696580244483329,0.05652310885422453,0.006301715321730012,0.5936277249860257,0.0016769144773616546,86228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,337.5,337.5,337.5,0,0.9885749305084375,11.266666412353516,0,256.0,1.0,0.0,0.0,24,248.14583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16643721681115986,1.6161125319693086,0.0,0.004166666666666667,0.0,0.0,86228.0,5361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,1763.0,2.066822977725674,1.767470843699221,-0.14998799562454224,1064.0,1.0
