episode,updates_cumulative,updates_episode,algorithm,transitions_buffered,transitions_collected_episode,transitions_collected_cumulative,policy_loss,episode_return_total,avg_return_per_vehicle,value_loss,entropy,entropy_coef_effective,approx_kl,clip_fraction,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,critic_only_queued,route_decisions_total,route_candidate_count,route_feasible_candidate_count,route_actor_ownership_skips,route_no_feasible_candidates,route_choice_idx_0,route_choice_idx_1,route_choice_idx_2,route_choice_idx_3,route_valid_candidates_1,route_valid_candidates_2,route_valid_candidates_3,route_valid_candidates_4,route_choice_nonzero_rate,route_mean_valid_candidates,route_mean_logit_margin,route_mean_chosen_length_norm,route_mean_chosen_eta_norm,route_mean_chosen_density,route_mean_chosen_first_density,route_mean_balance_reward,route_mean_eta_delta_steps,route_mean_density_relief,route_mean_required_relief,route_selfless_detour_rate,route_bad_detour_rate,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,loop_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,snapshot_cache_hits,shortest_path_cache_hits,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,policy_masked_actions_removed,decision_pending_at_episode_end,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_observe_resolution_rate,tail_vehicles_over_p90_count,tail_completion_gap_steps,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,p95_to_p50_travel_ratio,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_forced_single_path,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,coordination_pending_reservations_seeded,coordination_pressure_candidates_seen,coordination_pressure_candidates_rejected,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,proactive_shift2_candidates_seen,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,lane_now_replan_releases,lane_now_replan_forced_alternative,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio,noncompletion_rate,uncontrolled_total_wait_steps,mean_uncontrolled_wait_per_step,route_detour_reward_congested_mean,route_detour_reward_light_mean,route_detour_congested_count,route_detour_light_count
0,0,0,mappo,900,900,900,,-2386.4679255055216,-7.954893085018406,,,0.15,,,1.0,212.16,204.0,273.0,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,39099.0,0.0,411.0,94.0,95.0,0.0,300.0,0.0,300.0,0.0,0.315,2.0,0.0004894694189230601,0.18055749976386626,0.02599820092320442,0.8449640223973741,0.8623374147868405,0.5845880993625382,8.969230931997298,0.01695696314833549,0.00523262944258813,0.31166666666666665,0.0033333333333333335,53080.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26462.0,158963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.28,-0.6898308515446975,235.384675,239.215,240.1125,0,1.1593303003830004,6.923978805541992,0,212.0,0.0,0.0,0.0,33,86.63636363636363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09665462125020952,1.4068627450980393,0.0,0.0,0.0,300.0,53080.0,1101.0,0.0,0.0,0.0,12037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,82.0,0.14211438474870017,1.8674834667142293,-0.3340321247521788,188.0,1.0
1,1,1,mappo,0,900,1800,-0.006027639334206469,-366.8695127025706,-1.2228983756752354,0.2759939404204488,0.5477303303778172,0.14795918367346939,0.0010763365136631647,0.07808737616142025,1.0,204.52333333333334,198.0,255.0,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,38835.0,0.0,400.0,99.0,101.0,0.0,300.0,0.0,300.0,0.0,0.3333333333333333,2.0,0.0008244683655599753,0.182494056224823,0.026277042745302123,0.8454765251651406,0.8709826513628165,0.5767225025945008,9.49595639705658,0.010100343868800947,0.005401121987025657,0.32166666666666666,0.011666666666666667,51805.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50902.0,310556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.973333333333336,-0.6739079605594342,236.0024583333333,239.215,240.1125,0,1.1771848343557925,6.527159357070923,0,200.0,0.0,0.0,0.0,31,76.87096774193549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08705809171460999,1.3643939393939395,0.0,0.0,0.0,300.0,51805.0,1043.0,0.0,0.0,0.0,11460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,9.0,0.016129032258064516,1.7331185958596445,1.1429009806311936,199.0,1.0
2,1,0,mappo,900,900,2700,,-1698.723257071298,-5.6624108569043266,,,0.14591836734693878,,,1.0,210.72333333333333,200.0,286.20000000000005,0,0,0,300,300.0,300.0,600.0,1199.0,1198.0,38881.0,0.0,397.0,101.0,102.0,0.0,301.0,0.0,299.0,0.0,0.3383333333333333,1.9966666666666666,0.008459776307766636,0.18300570628295343,0.026350714458773534,0.8516473028933008,0.8767917608221372,0.6411978665680342,9.633248215913772,0.01994260748821157,0.005397350423013571,0.3383333333333333,0.0,52660.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76960.0,467900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.81333333333333,-0.6758828730666039,235.3738833333333,239.215,240.1125,0,1.114817531349515,6.748293399810791,0,191.0,0.0,0.0,0.0,30,105.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10744551834685812,1.51,0.0,0.0,0.0,300.0,52660.0,1077.0,0.0,0.0,0.0,11743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,21.0,0.03523489932885906,1.89516610808286,0.0,203.0,0.0
3,2,1,mappo,0,900,3600,-0.007525418568548048,-939.5185157020184,-3.1317283856733944,0.0973312126006931,0.5451692081987858,0.14387755102040817,0.0008826653264156492,0.13799578379257582,1.0,209.1,203.0,267.1,0,0,0,300,300.0,300.0,600.0,1199.0,1198.0,38211.0,0.0,402.0,106.0,92.0,0.0,301.0,0.0,299.0,0.0,0.33,1.9966666666666666,0.006905753063037991,0.1820987687135736,0.026220125885059436,0.8495459014984469,0.8622144719678908,0.6222714349837518,9.363567405939103,0.01840398725893465,0.005350620259222331,0.33,0.0016666666666666668,51914.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102866.0,623948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.45666666666666,-0.6647118305691682,234.9746,239.215,240.1125,0,1.075898709237554,6.61912727355957,0,215.0,0.0,0.0,0.0,30,85.30000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10008916520537747,1.3854679802955667,0.0,0.0,0.0,300.0,51914.0,982.0,0.0,0.0,0.0,12298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,10.0,0.016233766233766232,1.8761952813580456,0.0,199.0,0.0
4,2,0,mappo,900,900,4500,,-468.11656165316,-1.5603885388438665,,,0.14183673469387756,,,1.0,210.97333333333333,199.0,270.0,0,0,0,300,300.0,300.0,600.0,1200.0,1198.0,38950.0,0.0,396.0,99.0,105.0,0.0,301.0,0.0,299.0,0.0,0.34,1.9966666666666666,0.018104616738855838,0.18343324381858112,0.02641227494304379,0.8387764735954503,0.8635319553680407,0.6331963402196845,9.75809342265129,0.018819693751264525,0.005502271101613627,0.3383333333333333,0.0033333333333333335,51869.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127204.0,775302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.61333333333334,-0.6369614770134379,235.019475,239.215,240.1125,0,1.1489650991413052,6.870493412017822,0,239.0,0.0,0.0,0.0,31,85.74193548387098,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09765868250858456,1.407035175879397,0.0,0.0,0.0,300.0,51869.0,1047.0,0.0,0.0,0.0,11350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,18.0,0.03103448275862069,1.8636271625363012,-0.2621370255947113,204.0,1.0
5,3,1,mappo,0,900,5400,-0.010889693019180413,-53.21614238350953,-0.17738714127836508,0.08329353097360581,0.5451510539278388,0.13979591836734692,0.0006474252565477762,0.18790094088762999,1.0,209.35666666666665,199.5,277.20000000000005,0,0,0,300,300.0,300.0,600.0,1199.0,1198.0,38836.0,0.0,388.0,98.0,114.0,0.0,301.0,0.0,299.0,0.0,0.35333333333333333,1.9966666666666666,0.01665663150449594,0.1847740376989047,0.026605333822468918,0.846506550014019,0.8676445777031283,0.6768321080439812,10.135080456733704,0.02214339478092976,0.005553827544212497,0.35333333333333333,0.0,51545.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151122.0,925043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.06,-0.6498442900087567,234.9189333333333,239.215,240.1125,0,1.1082403865398047,6.338265895843506,0,245.0,0.0,0.0,0.0,30,93.06666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10025671236221001,1.4443609022556392,0.0,0.0,0.0,300.0,51545.0,1054.0,0.0,0.0,0.0,11013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,4.0,0.006802721088435374,1.9155625699357959,0.0,212.0,0.0
6,3,0,mappo,900,900,6300,,-2987.7981909862565,-9.959327303287521,,,0.1377551020408163,,,1.0,219.52666666666667,215.5,272.0,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,40704.0,0.0,378.0,90.0,132.0,0.0,300.0,0.0,300.0,0.0,0.37,2.0,0.01879153271516164,0.18685986287891865,0.0269056686386466,0.8357085678478082,0.8694642325583846,0.643765747069784,10.739316093921662,0.013352809124432194,0.00576962757662772,0.35333333333333333,0.016666666666666666,55261.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178736.0,1089634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.4,-0.7400136855178168,234.85429166666663,239.215,240.1125,0,1.1491388180806419,8.341090202331543,0,219.0,0.0,0.0,0.0,31,83.66129032258067,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0971823215605292,1.3877030162412993,0.0,0.0,0.0,300.0,55261.0,1210.0,0.0,0.0,0.0,12594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,20.0,0.033003300330033,1.7399074245129296,0.0,222.0,0.0
7,4,1,mappo,0,900,7200,-0.007992892814399966,-979.5402049961752,-3.2651340166539176,0.07401059695985168,0.5433185193687677,0.1357142857142857,-0.000562369758407788,0.06656233596731909,1.0,208.82666666666665,206.0,249.10000000000002,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,39480.0,0.0,377.0,108.0,115.0,0.0,300.0,0.0,300.0,0.0,0.37166666666666665,2.0,0.025553374886512756,0.1865809379145503,0.026865506631632646,0.85578176189214,0.8822204551783701,0.6511158157005961,10.6118299305439,0.010324163398076054,0.00574235139375609,0.37,0.0016666666666666668,53288.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204852.0,1247775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.85333333333333,-0.6838736060187369,235.32601666666665,239.215,240.1125,0,1.162211436084419,8.15377426147461,0,223.0,0.0,0.0,0.0,30,61.39999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07963829651385512,1.2912621359223302,0.0,0.0,0.0,300.0,53288.0,1111.0,0.0,0.0,0.0,12544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,19.0,0.03315881326352531,1.75188111847694,0.0,223.0,0.0
8,4,0,mappo,900,900,8100,,-320.0426818885575,-1.0668089396285252,,,0.1336734693877551,,,1.0,205.42666666666668,202.0,250.0,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,39357.0,0.0,382.0,102.0,116.0,0.0,300.0,0.0,300.0,0.0,0.36333333333333334,2.0,0.03454986025889715,0.18579733781516553,0.02675267724941174,0.8532447561249137,0.8783615901321172,0.617361238753304,10.40966409444809,0.00883620044385801,0.005698943797127595,0.34833333333333333,0.015,52863.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230364.0,1403641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.846666666666664,-0.6982278111780538,235.6151416666666,239.215,240.1125,0,1.1380900031769257,7.410733222961426,0,226.0,0.0,0.0,0.0,32,62.84375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08389043941065744,1.297772277227723,0.0,0.0,0.0,300.0,52863.0,1085.0,0.0,0.0,0.0,12398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,2.0,0.0034423407917383822,1.708197604965793,-0.2621370255947113,217.0,1.0
9,5,1,mappo,0,900,9000,-0.004203597566174722,-914.0333839548304,-3.046777946516101,0.0421780546894297,0.5365524915978312,0.13163265306122449,0.0010128222026821732,0.18562454939819872,1.0,209.27333333333334,206.0,250.0,0,0,0,300,300.0,300.0,600.0,1200.0,1200.0,39692.0,0.0,384.0,109.0,107.0,0.0,300.0,0.0,300.0,0.0,0.36,2.0,0.0403503214319547,0.18524014403422673,0.026672447752207517,0.8457542574529846,0.8784217677575846,0.6059544969447361,10.234842896461487,0.0075480277448829475,0.005653627267603234,0.35,0.01,53381.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256242.0,1561141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.41,-0.6933671815362223,236.22694166666662,239.215,240.1125,0,1.17169305884128,7.418745517730713,0,206.0,0.0,0.0,0.0,36,54.77777777777777,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0801964469646288,1.2672330097087379,0.0,0.0,0.0,300.0,53381.0,1118.0,0.0,0.0,0.0,12376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,11.0,0.019130434782608695,1.6847743882700703,1.3462046887766441,215.0,1.0
