episode,epsilon,replay,use_double_dqn,train_steps_cumulative,train_steps_episode,episode_mean_loss,last_batch_loss,episode_return_total,avg_return_per_vehicle,elite_buffer_size,elite_transitions_added_episode,elite_transitions_added_cumulative,elite_samples_drawn_episode,elite_samples_drawn_cumulative,replay_main_finalized_episode,replay_main_finalized_cumulative,replay_main_pending_timeout_episode,replay_main_pending_timeout_cumulative,replay_main_terminal_episode,replay_main_terminal_cumulative,replay_main_dropped_episode,replay_main_dropped_cumulative,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,teleported_controlled,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,decisions_skipped_actionable,skipped_pending_hold,skipped_structural_no_branch,skipped_structural_forced_single_path,skipped_structural_forced_by_lane_commit,skipped_structural_too_late_or_unreachable,skipped_actionable_no_candidate,skipped_other,route_mismatch,loop_events,short_cycle_events,aba_bounce_events,dead_end_reentry_events,long_horizon_loop_events,revisit_without_progress_events,loop_signal_events_total,loop_repeat_only_events,safety_overrides,loop_prefilter_overrides,fragment_build_failures,fallback_overrides,fallback_selected_total,fallback_selected_lane_now,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,lane_change_observe_abort_no_progress,lane_change_observe_abort_low_speed,lane_change_observe_abort_commit_window,pending_release_events_total,pending_release_abort_events_total,pending_release_timeout_events_total,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,pending_release_route_stall_timeout,pending_release_route_hard_timeout,loop_override_count,dead_end_reentry_override_count,snapshot_cache_hits,shortest_path_cache_hits,exploration_actions,policy_actions,override_ratio,override_events_total,override_event_loop_prefilter,override_event_cooldown_fallback,override_event_observe_abort_fallback,override_event_route_apply_fail,override_event_invalid_action,policy_masked_actions_removed,override_learning_transitions,cooldown_fallback_overrides,observe_abort_fallback_overrides,route_apply_fail_overrides,override_learning_negative,override_learning_imitation,alive_at_step_cap,decision_pending_at_episode_end,mean_pending_age,mean_decision_latency_steps,pending_open_observe_end,pending_open_route_end,pending_open_lane_now_end,pending_open_proactive_end,pending_open_active_monitoring_end,mean_pending_age_end_all,max_pending_age_end_all,mean_pending_age_end_active,max_pending_age_end_active,mean_pending_age_end_lane_now,max_pending_age_end_lane_now,mean_pending_stall_age_end,max_pending_stall_age_end,top_pending_end_edges,oldest_pending_summary,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,fail_timeout,fail_removed_non_destination,fail_unreachable_transition,fail_dead_end_no_outgoing,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,emergency_brake_due_to_leader,emergency_brake_due_to_congestion,emergency_brake_near_junction,emergency_brake_other_reason,emergency_brake_after_fallback,emergency_brake_after_proactive,emergency_brake_after_lane_now,emergency_brake_without_recent_decision,emergency_brake_rate_per_100_decisions,emergency_brake_rate_per_100_arrivals,emergency_brake_leader_share,emergency_brake_congestion_share,emergency_brake_junction_share,emergency_brake_other_share,emergency_brake_after_fallback_share,emergency_brake_after_proactive_share,emergency_brake_after_lane_now_share,emergency_brake_without_recent_decision_share,top_emergency_brake_edges,top_emergency_brake_vehicles,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_request_accepted_rate,lane_change_observe_resolution_rate,lane_change_observe_success_overcount,tail_vehicles_over_p90_count,tail_completion_gap_steps,loop_reason_short_cycle,loop_reason_aba_bounce,loop_reason_dead_end_reentry,loop_reason_long_horizon,loop_reason_revisit_without_progress,dominant_loop_reason,top_loop_signal_edges,top_loop_repeat_only_edges,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,actionable_skip_ratio,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,loop_after_fallback_rate,p95_to_p50_travel_ratio,timeout_rate,fallback_rate_per_opened_decision,controlled_teleport_rate,skip_reason_forced_by_lane_commit,skip_reason_too_late_or_unreachable,skip_reason_forced_single_path,skip_reason_no_branch,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,lane_now_congestion_candidates_seen,lane_now_congestion_candidates_rejected,commit_window_non_lane_candidates_seen,commit_window_candidates_rejected,proactive_shift2_candidates_seen,proactive_shift2_candidates_rejected,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,pending_commit_window_grace_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,fallback_after_observe_abort_count,fallback_after_timeout_count,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio
0,0.99,1210,0,0,0,,,-3091.4114181591376,-30.914114181591376,0,0,0,0,0,486,486,7,7,100,100,21653,21653,0.98,295.4387755102041,215.0,756.1999999999998,12,5,5,3,95,340.0,22706.0,1911.0,1844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,16.0,0.0,16.0,5.0,46.0,46.0,0.0,47.0,47.0,47.0,50.0,23.0,23.0,22.0,1.0,0.0,0.0,66.0,16.0,50.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0,50.0,46.0,0.0,45239.0,216428.0,1571.0,0.0,0.024594453165881738,47.0,46.0,0.0,1.0,0.0,0.0,1961.0,94.0,0.0,1.0,0.0,47.0,47.0,0,2,0.0,13.876898047722342,0,2,2,0,0,539.5,667.0,0.0,0.0,539.5,667.0,537.0,663.0,-46583484#10:1|305323028#2:1,"117@-46583484#10:age=667,stall=663,phase=route_pending,mode=lane_now,shift=0",1.2431910925480276,125.47448750000001,118.86812499999999,196.39725,2,0.0,0.0,0.0,0.0,0.06697022137031751,20.0,332,432.0,70.0,304.0,37.0,21.0,1.0,14.0,416.0,1.0,22.60596546310832,440.81632653061223,0.16203703703703703,0.7037037037037037,0.08564814814814815,0.04861111111111111,0.0023148148148148147,0.032407407407407406,0.9629629629629629,0.0023148148148148147,420882491:9|-195743187#0:8|-46613627:8,137:13|153:12|109:11,4.0,3.0,1.0,0.9565217391304348,0.0,10,694.5,0.0,0.0,0.0,16.0,0.0,long_horizon,439801905#0:3|-196117044#0:2|46583484#4:2,-195743203#4:1|-47796089#7:1|-5670859#0:1,0.0,0.4470351847311315,0.7025471494862444,0.7280361757105943,0.0,0.0,0.96353591160221,0.027624309392265192,0.008839779005524863,0.4237638480944135,0.2978723404255319,4.195348837209302,0.0,0.024594453165881738,0.05,60.0,0.0,280.0,0.0,22706.0,3411.0,0.0,172.0,122.0,179.0,122.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,23.0,23.0,1888.0,1821.0,1.0,0.0,1.0,0.0,15.0,0.0,1.0,0.9645127118644068
1,0.9801,2572,0,0,0,,,-1258.044458165439,-12.58044458165439,0,0,0,0,0,554,1040,8,15,100,200,24633,46286,1.0,299.83,263.0,592.1,0,0,0,0,100,431.0,25774.0,2147.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,23.0,0.0,23.0,5.0,83.0,83.0,0.0,84.0,84.0,84.0,53.0,35.0,35.0,32.0,1.0,0.0,0.0,54.0,1.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,83.0,0.0,96588.0,457391.0,1703.0,13.0,0.03912435957149511,84.0,83.0,0.0,1.0,0.0,0.0,1997.0,168.0,0.0,1.0,0.0,84.0,84.0,0,0,0.0,12.334288443170964,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.2711136896287285,133.523875,138.755625,200.133375,0,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6562541127204895,0,454.0,68.0,0.0,335.0,51.0,8.0,22.0,423.0,1.0,21.145784816022356,454.0,0.14977973568281938,0.0,0.737885462555066,0.11233480176211454,0.01762114537444934,0.048458149779735685,0.9317180616740088,0.0022026431718061676,-196116986:13|-309956784#0:11|309956784#3:9,193:17|144:10|126:9,0.0,0.0,1.0,0.9142857142857143,0.0,10,449.70000000000005,0.0,0.0,0.0,23.0,0.0,long_horizon,-196117044#0:5|-460596360#0:3|-46583484#4:2,-195743203#1:2|195743203#2:1|195743203#4:1,0.0,0.017489567221891735,0.06227500000000008,0.7929803688280785,0.0,0.0,0.9736328125,0.02587890625,0.00048828125,0.35251142313977923,0.3,2.5944866920152094,0.0,0.03912435957149511,0.0,95.0,0.0,336.0,0.0,25774.0,3381.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,2112.0,2059.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.974905303030303
2,0.9702989999999999,3727,0,167,167,0.32647721032182614,0.35338860750198364,-1308.9996521505059,-13.089996521505059,0,0,0,0,0,531,1571,4,19,100,300,23119,69405,0.95,294.4421052631579,281.0,522.2,13,5,5,0,95,532.0,24076.0,2148.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,23.0,0.0,23.0,5.0,76.0,76.0,0.0,78.0,78.0,78.0,46.0,43.0,43.0,39.0,2.0,0.0,0.0,49.0,3.0,46.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,46.0,76.0,0.0,144534.0,674145.0,1579.0,37.0,0.036312849162011177,78.0,76.0,0.0,2.0,0.0,0.0,1796.0,156.0,0.0,2.0,0.0,78.0,78.0,0,5,0.0,13.041507633587786,0,5,5,0,0,321.8,519.0,0.0,0.0,321.8,519.0,317.0,513.0,-327917960#2:1|-5670859#4:1|46583483:1,"120@-327917960#2:age=519,stall=513,phase=route_pending,mode=lane_now,shift=0",1.082358109200366,131.9006875,128.28062500000001,223.39525,5,0.0,0.0,0.0,0.0,0.002080530340187028,0.6562541127204895,0,474.0,80.0,2.0,334.0,58.0,11.0,25.0,438.0,0.0,22.067039106145252,498.94736842105266,0.16877637130801687,0.004219409282700422,0.7046413502109705,0.12236286919831224,0.023206751054852322,0.052742616033755275,0.9240506329113924,0.0,196116983#3:10|309956784#3:8|418371676#0:8,189:15|109:11|141:11,0.0,10.0,1.0,0.9069767441860465,0.0,10,342.5,0.0,0.0,0.0,23.0,0.0,long_horizon,-5672019#0:4|-195743203#3:2|-46583484#4:2,-569369532#0:2|584850101:2|-195743203#1:1,0.0,0.01670398307753052,0.059350000000000215,0.7959313413858868,0.0,0.0,0.976039119804401,0.022493887530562348,0.001466992665036675,0.36375849533744264,0.3246753246753247,2.0612099644128112,0.0,0.036312849162011177,0.05,117.0,0.0,415.0,0.0,24076.0,4729.0,0.0,73.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,2105.0,2055.0,2.0,1.0,2.0,0.0,1.0,0.0,0.9534883720930233,0.9762470308788599
3,0.96059601,4925,0,358,191,0.3331911812746088,0.41788697242736816,-961.9142082239166,-9.619142082239167,0,0,0,0,0,533,2104,4,23,100,400,21255,90660,0.97,279.17525773195877,229.0,525.4000000000001,15,6,6,3,94,445.0,22226.0,2021.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,30.0,0.0,30.0,11.0,99.0,99.0,0.0,100.0,100.0,100.0,30.0,35.0,35.0,34.0,1.0,0.0,0.0,31.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,99.0,0.0,188781.0,884471.0,1516.0,60.0,0.04948045522018803,100.0,99.0,0.0,1.0,0.0,0.0,1751.0,200.0,0.0,1.0,0.0,100.0,100.0,0,3,0.0,13.372233400402415,0,3,3,0,0,431.6666666666667,489.0,0.0,0.0,431.6666666666667,489.0,427.3333333333333,486.0,-46583484#1:1|-5672660:1|5672571#2:1,"129@-46583484#1:age=489,stall=486,phase=route_pending,mode=lane_now,shift=0",1.09424973580556,120.7280875,111.27625,211.73812500000008,3,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6562541127204895,0,447.0,60.0,0.0,328.0,59.0,10.0,21.0,416.0,0.0,22.117763483424046,460.82474226804123,0.1342281879194631,0.0,0.7337807606263982,0.1319910514541387,0.02237136465324385,0.04697986577181208,0.930648769574944,0.0,-418371676#0:13|-46583484#8:10|196116983#3:8,187:14|171:12|161:11,0.0,9.0,1.0,0.9714285714285714,0.0,10,495.1,0.0,0.0,0.0,30.0,0.0,long_horizon,-46583484#4:3|-46583484#6:3|-46583484#1:2,-5668986#1:3|-47796089#7:2|-195743203#0:1,0.0,0.015900676591164935,0.06025,0.7942894224529526,0.0,0.0,0.9838457529963522,0.015633142261594582,0.0005211047420531526,0.3928033014055339,0.35,2.979039301310043,0.0,0.04948045522018803,0.06,94.0,0.0,351.0,0.0,22226.0,3787.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,1986.0,1954.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9714285714285714,0.9838872104733132
4,0.9509900498999999,6192,0,518,160,0.3225089582614601,0.31110385060310364,-1433.799398551303,-14.33799398551303,0,0,0,0,0,566,2670,7,30,100,500,22443,113103,0.97,289.70103092783506,241.0,595.0,15,7,7,4,93,316.0,23485.0,2003.0,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,31.0,0.0,31.0,7.0,81.0,81.0,0.0,88.0,88.0,88.0,52.0,38.0,38.0,31.0,2.0,0.0,5.0,59.0,7.0,52.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,52.0,81.0,0.0,235552.0,1110545.0,1619.0,68.0,0.04393409885172242,88.0,81.0,0.0,7.0,0.0,0.0,1987.0,176.0,0.0,7.0,0.0,88.0,88.0,0,3,0.0,13.192505133470226,0,3,3,0,0,421.6666666666667,605.0,0.0,0.0,421.6666666666667,605.0,417.6666666666667,601.0,-671845942:1|630828563#0:1|68668549#0:1,"110@-671845942:age=605,stall=601,phase=route_pending,mode=lane_now,shift=0",1.156588875667922,123.82180000000002,122.38499999999999,181.5805000000001,3,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6562541127204895,0,444.0,81.0,1.0,304.0,58.0,9.0,15.0,419.0,1.0,22.166749875187218,457.7319587628866,0.18243243243243243,0.0022522522522522522,0.6846846846846847,0.13063063063063063,0.02027027027027027,0.033783783783783786,0.9436936936936937,0.0022522522522522522,-418371676#0:16|309956784#3:9|327917960#3:9,104:9|112:9|127:9,0.0,10.0,1.0,0.8157894736842105,0.0,10,455.0,0.0,0.0,0.0,31.0,0.0,long_horizon,-195743203#4:3|569369532#0:3|-195743203#1:2,-195743203#4:2|-5668986#1:2|-46583484#0:1,0.0,0.012223294420861128,0.05209999999999999,0.8198908429351122,0.0,0.0,0.9690613529103304,0.027267960146827478,0.0036706869428421605,0.36004221884461685,0.3764705882352941,2.7601659751037335,0.0,0.04393409885172242,0.07,96.0,0.0,220.0,0.0,23485.0,4540.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,1965.0,1911.0,7.0,1.0,7.0,0.0,0.0,0.0,0.9736842105263158,0.9725190839694656
5,0.9414801494009999,7513,0,702,184,0.31998283796660276,0.31244948506355286,-986.7771248443248,-9.867771248443248,0,0,0,0,0,612,3282,5,35,100,600,23560,136663,0.97,286.5670103092784,273.0,519.4000000000001,6,3,3,0,97,418.0,24633.0,2269.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,1.0,0.0,0.0,39.0,0.0,39.0,5.0,107.0,107.0,0.0,112.0,112.0,112.0,26.0,40.0,40.0,33.0,2.0,0.0,3.0,32.0,6.0,26.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,26.0,107.0,0.0,284619.0,1351722.0,1760.0,91.0,0.0493609519612164,112.0,107.0,0.0,5.0,0.0,0.0,2089.0,224.0,0.0,5.0,0.0,112.0,112.0,0,3,0.0,12.456007146047343,0,3,3,0,0,267.6666666666667,477.0,0.0,0.0,267.6666666666667,477.0,265.6666666666667,471.0,-309956784#3:1|195743203#0:1|511671659:1,"103@-309956784#3:age=477,stall=471,phase=route_pending,mode=lane_now,shift=0",1.0232802728656714,131.45490000000004,134.71375,201.70237500000005,3,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6562541127204895,0,529.0,92.0,2.0,375.0,60.0,6.0,23.0,497.0,3.0,23.314235345967386,545.360824742268,0.17391304347826086,0.003780718336483932,0.7088846880907372,0.11342155009451796,0.011342155009451797,0.043478260869565216,0.9395085066162571,0.005671077504725898,-196116986:21|309956784#3:13|-309956784#0:11,124:15|160:15|104:13,0.0,6.0,1.0,0.825,0.0,10,360.1,1.0,0.0,0.0,39.0,0.0,long_horizon,-196117044#0:8|46583484#4:6|195743203#4:3,-46583484#6:1|-46583484#7:1|-5668986#1:1,0.0,0.020435848111960933,0.0622750000000003,0.7633756205184776,0.0,0.0,0.9852602487333026,0.011976047904191617,0.0027637033625057578,0.33444460557005895,0.3063063063063063,2.251282051282051,0.0,0.0493609519612164,0.03,90.0,0.0,328.0,0.0,24633.0,4146.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,2229.0,2199.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,0.9865410497981157
6,0.9320653479069899,8836,0,908,206,0.3410314385896748,0.3495626747608185,-1810.9544734975134,-18.109544734975135,0,0,0,0,0,574,3856,11,46,100,700,23418,160081,0.97,284.03092783505156,221.0,641.2,15,4,4,1,96,440.0,24473.0,2133.0,2073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,44.0,0.0,44.0,4.0,106.0,106.0,0.0,107.0,107.0,107.0,56.0,31.0,31.0,29.0,1.0,0.0,0.0,58.0,2.0,56.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,56.0,106.0,0.0,333362.0,1580579.0,1596.0,97.0,0.050164088138771684,107.0,106.0,0.0,1.0,0.0,0.0,1887.0,214.0,0.0,1.0,0.0,107.0,107.0,0,3,0.0,12.50844187168355,0,3,3,0,0,243.33333333333334,448.0,0.0,0.0,243.33333333333334,448.0,240.0,448.0,-195743203#1:1|-630828563#0:1|465067249#0:1,"125@-195743203#1:age=448,stall=448,phase=route_pending,mode=lane_now,shift=99",1.0499628785535964,127.7237125,122.46375,213.67887500000003,3,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6562541127204895,0,482.0,62.0,1.0,356.0,63.0,15.0,12.0,453.0,2.0,22.597280825128927,496.9072164948454,0.12863070539419086,0.002074688796680498,0.7385892116182573,0.13070539419087138,0.03112033195020747,0.024896265560165973,0.9398340248962656,0.004149377593360996,-196117044#0:9|-47796089#5:9|47796089#4:9,135:15|158:15|115:14,0.0,8.0,1.0,0.9354838709677419,0.0,10,564.2,0.0,0.0,0.0,44.0,0.0,long_horizon,-196117044#0:6|-402097158#1:3|-47796089#7:3,-195743203#4:1|418371676#11:1|439801904#1:1,0.0,0.019654474866137566,0.06227500000000005,0.7611044417767107,0.0,0.0,0.9714426390940424,0.027572624322993598,0.0009847365829640572,0.4122356776392573,0.33962264150943394,3.5294117647058814,0.0,0.050164088138771684,0.04,107.0,0.0,333.0,0.0,24473.0,2593.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,2102.0,2042.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9714557564224549
7,0.92274469442792,10117,0,1135,227,0.36335058090182654,0.3360368311405182,-2989.6381990583745,-29.896381990583745,0,0,0,0,0,544,4400,6,52,100,800,27348,187429,0.94,339.6489361702128,259.5,695.4,21,7,7,1,93,528.0,28372.0,2244.0,2157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,27.0,0.0,27.0,3.0,88.0,88.0,0.0,90.0,90.0,90.0,82.0,37.0,37.0,35.0,2.0,0.0,0.0,84.0,2.0,82.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,82.0,88.0,0.0,389898.0,1843902.0,1598.0,118.0,0.040106951871657755,90.0,88.0,0.0,2.0,0.0,0.0,1955.0,180.0,0.0,2.0,0.0,90.0,90.0,0,5,0.0,13.79925822902179,0,5,5,0,0,578.0,907.0,0.0,0.0,578.0,907.0,572.0,901.0,-418371676#12:1|-420882493:1|-569369535#1:1,"134@-418371676#12:age=907,stall=901,phase=route_pending,mode=lane_now,shift=0",0.9646566203802184,132.02226249999998,124.095,218.39675000000005,6,0.0,0.0,0.0,0.0,0.002340214743881445,1.1291779279708862,61,508.0,79.0,6.0,357.0,66.0,13.0,26.0,469.0,0.0,22.63814616755793,540.4255319148937,0.15551181102362205,0.011811023622047244,0.702755905511811,0.12992125984251968,0.025590551181102362,0.051181102362204724,0.9232283464566929,0.0,-309956784#0:11|309956784#3:11|309956784#2:9,186:15|166:11|131:10,0.0,13.0,1.0,0.9459459459459459,0.0,10,714.3,0.0,0.0,0.0,27.0,0.0,long_horizon,-196117044#0:3|-195743203#3:2|-47796089#7:2,-68668535:2|418371676#11:1,0.0,0.018373479901113963,0.06477499999999983,0.790946992257296,0.0,0.0,0.9607659971975713,0.03829985987856142,0.0009341429238673517,0.4116894991166684,0.3,3.770327552986509,0.0,0.040106951871657755,0.07,122.0,0.0,406.0,0.0,28372.0,7307.0,0.0,77.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,36.0,2207.0,2121.0,2.0,1.0,2.0,0.0,0.0,0.0,0.972972972972973,0.9610330765745355
8,0.9135172474836407,11338,0,1355,220,0.35054505867036906,0.33967119455337524,-1200.8546387876308,-12.008546387876308,0,0,0,0,0,527,4927,5,57,100,900,22110,209539,0.98,294.9387755102041,248.0,569.8,11,6,6,4,94,443.0,23127.0,2047.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,28.0,0.0,28.0,11.0,81.0,81.0,0.0,83.0,83.0,83.0,38.0,31.0,31.0,29.0,2.0,0.0,0.0,42.0,4.0,38.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,38.0,81.0,0.0,435954.0,2063461.0,1481.0,123.0,0.04054714215925745,83.0,81.0,0.0,2.0,0.0,0.0,1794.0,166.0,0.0,2.0,0.0,83.0,83.0,0,2,0.0,13.36009975062344,0,2,2,0,0,547.5,559.0,0.0,0.0,547.5,559.0,544.5,554.0,-420882495#0:1|204085730#1:1,"136@204085730#1:age=559,stall=554,phase=route_pending,mode=lane_now,shift=0",1.1178847060296395,123.40884999999999,116.12374999999999,197.34587500000004,2,0.0,0.0,0.0,0.0,0.0,0.0,0,475.0,82.0,0.0,337.0,56.0,8.0,19.0,447.0,1.0,23.20468978993649,484.6938775510204,0.1726315789473684,0.0,0.7094736842105264,0.11789473684210526,0.016842105263157894,0.04,0.9410526315789474,0.002105263157894737,-47796089#5:10|309956784#2:10|-309956784#0:9,129:15|110:14|185:12,0.0,8.0,1.0,0.9354838709677419,0.0,10,546.5,0.0,0.0,0.0,28.0,0.0,long_horizon,-402097158#2:3|-460596360#0:3|-195743203#1:2,-195743203#4:2|-46583484#6:2|-418371676#11:1,0.0,0.014472083598219965,0.059350000000000014,0.7972027972027972,0.0,0.0,0.9784283513097073,0.019517205957883924,0.002054442732408834,0.4055148076390811,0.3614457831325301,2.874798387096773,0.0,0.04054714215925745,0.06,92.0,0.0,351.0,0.0,23127.0,4582.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,30.0,2016.0,1975.0,2.0,1.0,2.0,0.0,2.0,0.0,0.967741935483871,0.9796626984126984
9,0.9043820750088043,12693,0,1531,176,0.3429389866068959,0.3236929178237915,-956.4471155607331,-9.56447115560733,0,0,0,0,0,568,5495,8,65,100,1000,24175,233714,0.97,287.21649484536084,264.0,495.4000000000001,7,3,3,0,97,430.0,25303.0,2266.0,2227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,30.0,0.0,30.0,7.0,95.0,95.0,0.0,97.0,97.0,96.0,35.0,32.0,32.0,30.0,2.0,0.0,0.0,38.0,3.0,35.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,35.0,95.0,0.0,486358.0,2306245.0,1682.0,154.0,0.04280670785525154,97.0,95.0,0.0,2.0,0.0,0.0,2115.0,194.0,0.0,2.0,0.0,97.0,97.0,0,3,0.0,12.251459362370902,0,3,3,0,0,207.66666666666666,328.0,0.0,0.0,207.66666666666666,328.0,202.0,319.0,5672571#2:2|-46583484#0:1,"132@5672571#2:age=328,stall=319,phase=route_pending,mode=lane_now,shift=0",1.1282841748946735,138.61133749999996,135.3125,216.56425000000002,3,0.0,0.0,0.0,0.0,0.0,0.0,0,530.0,90.0,0.0,369.0,71.0,11.0,16.0,503.0,0.0,23.389232127096204,546.3917525773196,0.16981132075471697,0.0,0.6962264150943396,0.1339622641509434,0.020754716981132074,0.03018867924528302,0.9490566037735849,0.0,47796089#4:14|-47796089#5:11|196116986:11,165:22|192:16|149:14,0.0,6.0,1.0,0.9375,0.0,10,340.9,0.0,0.0,0.0,30.0,0.0,long_horizon,-5672019#0:4|-420881464#0:3|-196117044#0:2,-195743203#3:1|-46583484#1:1|-5668986#1:1,0.0,0.018137665745856357,0.062275000000000094,0.7685082872928177,0.0,0.0,0.9824480369515012,0.016166281755196306,0.0013856812933025404,0.327630790180653,0.2736842105263158,2.260606060606058,0.0,0.04280670785525154,0.03,82.0,0.0,348.0,0.0,25303.0,3846.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,2234.0,2195.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.9825425246195165
