episode,epsilon,replay,train_steps_cumulative,train_steps_episode,episode_mean_loss,last_batch_loss,episode_return_total,avg_return_per_vehicle,elite_buffer_size,elite_transitions_added_episode,elite_transitions_added_cumulative,elite_samples_drawn_episode,elite_samples_drawn_cumulative,replay_main_finalized_episode,replay_main_finalized_cumulative,replay_main_pending_timeout_episode,replay_main_pending_timeout_cumulative,replay_main_terminal_episode,replay_main_terminal_cumulative,replay_main_dropped_episode,replay_main_dropped_cumulative,completion_rate,avg_travel_time,p50_travel_time,p90_travel_time,teleports,teleported_controlled,controlled_ever_teleported,arrived_after_teleport,clean_arrivals_without_teleport,forced_actions,decisions_considered,decisions_opened,decisions_finalized,decisions_skipped,decisions_skipped_actionable,skipped_pending_hold,skipped_structural_no_branch,skipped_structural_forced_single_path,skipped_structural_forced_by_lane_commit,skipped_structural_too_late_or_unreachable,skipped_actionable_no_candidate,skipped_other,route_mismatch,loop_events,short_cycle_events,aba_bounce_events,dead_end_reentry_events,long_horizon_loop_events,revisit_without_progress_events,safety_overrides,fragment_build_failures,fallback_overrides,fallback_selected_lane_now,pending_decision_timeouts,deferred_lane_change_actions,lane_change_observe_started,lane_change_observe_success,cooldown_replans_blocked,pending_release_observe_abort_no_progress,pending_release_observe_abort_commit_window,pending_release_observe_abort_low_speed,pending_release_wrong_lane_commit,pending_release_route_no_progress_abort,pending_release_route_stall_timeout,pending_release_route_hard_timeout,loop_override_count,dead_end_reentry_override_count,snapshot_cache_hits,shortest_path_cache_hits,exploration_actions,policy_actions,override_ratio,override_events_total,policy_masked_actions_removed,override_learning_transitions,override_learning_negative,override_learning_imitation,alive_at_step_cap,decision_pending_at_episode_end,mean_pending_age,mean_decision_latency_steps,mean_reward_per_finalized_decision,mean_route_difficulty_eta,p50_route_difficulty_eta,p90_route_difficulty_eta,fail_teleport,fail_timeout,fail_removed_non_destination,fail_unreachable_transition,fail_dead_end_no_outgoing,mean_network_density,p95_network_density,congestion_high_pressure_steps,emergency_brake_events,emergency_brake_due_to_leader,emergency_brake_due_to_congestion,emergency_brake_near_junction,emergency_brake_other_reason,emergency_brake_after_fallback,emergency_brake_after_proactive,emergency_brake_after_lane_now,emergency_brake_without_recent_decision,teleport_inferred_jam,teleport_inferred_yield_or_deadlock,lane_change_request_accepted_rate,lane_change_observe_resolution_rate,lane_change_observe_success_overcount,tail_vehicles_over_p90_count,tail_completion_gap_steps,loop_reason_short_cycle,loop_reason_aba_bounce,loop_reason_dead_end_reentry,loop_reason_long_horizon,loop_reason_revisit_without_progress,dominant_loop_reason,aggregate_actionable_skip_to_finalized_ratio,social_regret_mean,social_regret_p90,social_best_action_chosen_rate,actionable_skip_ratio,structural_skip_ratio,pending_resolution_success_rate,pending_timeout_rate,pending_abort_rate,delay_fairness_gini,loop_after_fallback_rate,p95_to_p50_travel_ratio,timeout_rate,fallback_rate_per_opened_decision,controlled_teleport_rate,reachable_lane_change_nonempty,reachable_lane_change_excluded_any,reachable_lane_change_excluded_all,policy_candidates_with_broader_available,policy_candidates_collapsed_to_lane_now_only,commit_window_non_lane_candidates_seen,commit_window_candidates_rejected,proactive_shift2_candidates_seen,proactive_shift2_candidates_rejected,proactive_brake_risk_candidates_seen,proactive_brake_risk_candidates_rejected,proactive_brake_risk_fallback_kept,pending_commit_window_grace_kept,proactive_decisions_opened,proactive_decisions_finalized,lane_now_decisions_opened,lane_now_decisions_finalized,proactive_pending_abort_count,proactive_pending_timeout_count,fallback_after_observe_abort_count,fallback_after_timeout_count,same_edge_reopen_after_abort_count,synthetic_terminal_finalizations,finalized_opened_proactive_ratio,finalized_opened_lane_now_ratio
0,0.995,1127,0,0,,,-1571.6242152688385,-15.716242152688386,0,0,0,0,0,1027,1027,0,0,100,100,20145,20145,0.98,268.0,224.5,500.59999999999997,8,4,4,2,96,318.0,21152.0,1909.0,1907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,18.0,0.0,57.0,0.0,61.0,61.0,0.0,35.0,35.0,322.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,333.0,201575.0,1591.0,0.0,0.03195390256678889,61.0,1870.0,122.0,61.0,61.0,0,2,0.0,14.097535395909807,1.1422525562031542,125.47448750000001,118.86812499999999,196.39725,2,0.0,0.0,0.0,0.0,0.07783996117689798,20.0,192,474.0,73.0,351.0,33.0,17.0,5.0,21.0,447.0,1.0,2.0,4.0,1.0,1.0,287.0,10,427.29999999999995,1.0,0.0,0.0,18.0,0.0,long_horizon,0.0,0.5978697597875798,1.422422285056447,0.6934447300771208,0.0,0.0,0.9977912755383765,0.0,0.0022087244616234127,0.36553332877470224,0.32786885245901637,2.762806236080175,0.0,0.03195390256678889,0.04,21152.0,3087.0,0.0,67.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,35.0,35.0,1874.0,1872.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.9989327641408752
1,0.990025,2322,0,0,,,291.66336219354844,2.9166336219354845,0,0,0,0,0,1095,2122,0,0,100,200,21029,41174,0.99,269.4949494949495,251.0,431.0,4,3,3,2,97,436.0,22055.0,2114.0,2111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,76.0,0.0,85.0,85.0,0.0,55.0,55.0,478.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,76.0,0.0,836.0,415266.0,1673.0,5.0,0.0402081362346263,85.0,1876.0,170.0,85.0,85.0,0,1,0.0,12.421601136901943,1.2417718816762704,133.523875,138.755625,200.133375,1,0.0,0.0,0.0,0.0,0.0020805303401870284,0.6785181164741516,0,495.0,76.0,2.0,356.0,61.0,8.0,29.0,458.0,0.0,1.0,3.0,1.0,1.0,423.0,10,236.60000000000002,0.0,0.0,0.0,25.0,0.0,long_horizon,0.0,0.021624297117484582,0.062441249999999955,0.7820197044334976,0.0,0.0,0.9945598417408507,0.0,0.005440158259149357,0.257883936819469,0.2619047619047619,1.7768924302788842,0.0,0.0402081362346263,0.03,22055.0,3581.0,1.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,2059.0,2057.0,10.0,0.0,9.0,0.0,2.0,0.0,0.9818181818181818,0.9990286546867412
2,0.985074875,2919,190,190,0.3952176264242122,0.34339669346809387,-847.7100602249792,-8.477100602249791,0,0,0,0,0,497,2619,0,0,100,300,26826,68000,0.94,298.28723404255317,275.5,522.3000000000001,23,9,9,3,91,509.0,27253.0,2106.0,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0,34.0,0.0,85.0,0.0,88.0,88.0,0.0,34.0,34.0,283.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,85.0,0.0,1132.0,649370.0,1584.0,13.0,0.04178537511870845,88.0,1758.0,176.0,88.0,88.0,0,6,0.0,15.045281220209723,1.041099809718713,131.9006875,128.28062500000001,223.39525,6,0.0,0.0,0.0,0.0,0.0019998754195101743,0.6785181164741516,63,482.0,77.0,2.0,355.0,48.0,9.0,14.0,458.0,1.0,0.0,15.0,1.0,1.0,249.0,10,347.5,0.0,0.0,0.0,34.0,0.0,long_horizon,0.0,0.01754047210566037,0.06024999999999969,0.7921994884910486,0.0,0.0,0.9975037443834248,0.0,0.0024962556165751375,0.3630433446423029,0.38636363636363635,2.0464609800362976,0.0,0.04178537511870845,0.09,27253.0,4044.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,2072.0,2064.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.9961389961389961
3,0.9801495006250001,3539,418,228,0.4163220313688119,0.4183192849159241,-1879.3114510198434,-18.793114510198436,0,0,0,0,0,520,3139,0,0,100,400,30928,98928,0.93,341.9247311827957,219.0,939.799999999999,27,14,14,7,86,448.0,31378.0,2095.0,2086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,34.0,0.0,82.0,0.0,88.0,88.0,0.0,48.0,48.0,486.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,82.0,0.0,1635.0,914216.0,1622.0,25.0,0.04200477326968974,88.0,1815.0,176.0,88.0,88.0,0,6,0.0,17.60594439117929,0.8735486854074418,120.7280875,111.27625,211.73812500000008,7,0.0,0.0,0.0,0.0,0.0027922907197246963,3.957902193069458,94,460.0,54.0,5.0,346.0,55.0,13.0,26.0,421.0,0.0,0.0,21.0,1.0,1.0,438.0,10,881.8,0.0,0.0,0.0,34.0,0.0,long_horizon,0.0,0.016871828125000002,0.06025,0.7875,0.0,0.0,0.9954887218045113,0.0,0.004511278195488722,0.4739257709801519,0.36904761904761907,5.027397260273973,0.0,0.04200477326968974,0.14,31378.0,3950.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,45.0,2047.0,2041.0,9.0,0.0,6.0,0.0,3.0,0.0,0.9375,0.9970688812896922
4,0.9752487531218751,4738,578,160,0.4214306613430381,0.42615044116973877,308.0019411239873,3.080019411239873,0,0,0,0,0,1100,4239,0,0,99,499,18609,117537,1.0,243.83,231.5,413.0,2,2,2,2,98,366.0,19618.0,2007.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,38.0,0.0,85.0,0.0,95.0,95.0,0.0,49.0,49.0,396.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,85.0,0.0,2062.0,1114194.0,1616.0,25.0,0.04733432984554061,95.0,1935.0,190.0,95.0,95.0,0,0,0.0,11.835411471321695,1.2021909253635354,123.8218,122.38499999999999,181.5805000000001,0,0.0,0.0,0.0,0.0,0.0020805303401870284,3.649635076522827,0,425.0,60.0,2.0,318.0,45.0,17.0,31.0,377.0,0.0,0.0,2.0,1.0,1.0,347.0,11,310.1363636363636,1.0,0.0,0.0,38.0,0.0,long_horizon,0.0,0.030064172596559437,0.052887499999999976,0.803391959798995,0.0,0.0,0.9937402190923318,0.0,0.006259780907668232,0.3135007997375221,0.3191489361702128,1.920086393088552,0.0,0.04733432984554061,0.02,19618.0,2958.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,1958.0,1956.0,10.0,0.0,10.0,0.0,2.0,0.0,1.0,0.9989785495403473
5,0.9703725093562657,5412,778,200,0.3944852738082409,0.34458452463150024,-1108.3825037488662,-11.083825037488662,0,0,0,0,0,574,4813,0,0,100,599,26983,144520,0.97,325.6185567010309,282.0,603.0,12,4,4,1,96,400.0,27456.0,2141.0,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,32.0,0.0,101.0,0.0,102.0,102.0,0.0,27.0,27.0,190.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,0.0,2259.0,1366810.0,1705.0,36.0,0.04764128911723494,102.0,2030.0,204.0,102.0,102.0,0,3,0.0,15.764623303696771,1.0002930643890924,131.4549,134.71375,201.70237500000005,3,0.0,0.0,0.0,0.0,0.0020805303401870284,3.649635076522827,0,497.0,93.0,0.0,341.0,63.0,10.0,14.0,473.0,0.0,0.0,7.0,1.0,1.0,163.0,10,521.8,0.0,0.0,0.0,32.0,0.0,long_horizon,0.0,0.028212562122580043,0.06024999999999997,0.8004667444574096,0.0,0.0,0.9990191270230505,0.0,0.000980872976949485,0.3658607357988344,0.35294117647058826,2.5489361702127598,0.0,0.04764128911723494,0.04,27456.0,4646.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,2114.0,2110.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9981078524124882
6,0.9655206468094844,6004,1004,226,0.4215711099384105,0.3825845420360565,-129.83880571094463,-1.2983880571094462,0,0,0,0,0,492,5305,0,0,100,699,22783,167303,0.98,274.8775510204082,222.0,552.3,11,6,6,4,94,400.0,23218.0,1912.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,33.0,0.0,78.0,0.0,79.0,79.0,0.0,32.0,32.0,343.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,0.0,2611.0,1581609.0,1467.0,45.0,0.04131799163179916,79.0,1739.0,158.0,79.0,79.0,0,1,0.0,14.385340314136126,1.2794339355665234,127.7237125,122.46375,213.67887500000003,2,0.0,0.0,0.0,0.0,0.0020805303401870284,3.649635076522827,0,431.0,63.0,0.0,311.0,57.0,9.0,15.0,404.0,3.0,0.0,8.0,1.0,1.0,311.0,10,606.0,0.0,0.0,0.0,33.0,0.0,long_horizon,0.0,0.020250733372380904,0.056749999999999634,0.803776129467296,0.0,0.0,0.9988962472406181,0.0,0.0011037527593818985,0.4279024699195888,0.3670886075949367,3.340090090090089,0.0,0.04131799163179916,0.06,23218.0,2522.0,3.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,1880.0,1878.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9989361702127659
7,0.960693043575437,6620,1330,326,0.3888495673248373,0.39996904134750366,-1254.594050897402,-12.54594050897402,0,0,0,0,0,517,5822,0,0,99,798,27989,195292,0.91,325.1978021978022,218.0,722.0,36,14,14,5,86,477.0,28472.0,2047.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,26.0,0.0,69.0,0.0,70.0,70.0,0.0,30.0,30.0,307.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,69.0,0.0,2923.0,1838829.0,1522.0,48.0,0.03419638495359062,70.0,1842.0,140.0,70.0,70.0,0,7,0.0,17.840117704757233,1.0163786110464643,132.0222625,124.095,218.39675000000005,9,0.0,0.0,0.0,0.0,0.002765881511072167,3.649635076522827,224,444.0,71.0,11.0,307.0,55.0,8.0,14.0,421.0,1.0,0.0,25.0,1.0,1.0,277.0,10,904.2,0.0,0.0,0.0,26.0,0.0,long_horizon,0.0,0.017036846620532755,0.05210000000000005,0.8201298701298702,0.0,0.0,0.9989696032972695,0.0,0.0010303967027305513,0.44856539061249645,0.3188405797101449,5.073394495412844,0.0,0.03419638495359062,0.14,28472.0,5223.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,2017.0,2009.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9960337134357957
8,0.9558895783575597,7681,1475,145,0.34450551826378395,0.3973684310913086,387.3224207850399,3.873224207850399,0,0,0,0,0,962,6784,0,0,99,897,20203,215495,0.98,251.62244897959184,243.5,442.29999999999995,4,2,2,0,98,427.0,21120.0,1905.0,1903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,0.0,69.0,0.0,73.0,73.0,0.0,31.0,31.0,504.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,3439.0,2037966.0,1419.0,59.0,0.03832020997375328,73.0,1662.0,146.0,73.0,73.0,0,2,0.0,13.007356805044667,1.375310597546007,123.40885000000002,116.12374999999999,197.34587500000004,2,0.0,0.0,0.0,0.0,0.0020805303401870284,4.4052863121032715,0,427.0,64.0,1.0,311.0,51.0,8.0,12.0,406.0,1.0,0.0,4.0,1.0,1.0,473.0,10,383.70000000000005,0.0,0.0,0.0,29.0,0.0,long_horizon,0.0,0.04051583829067584,0.059350000000000014,0.7940566689702834,0.0,0.0,0.9977863862755949,0.0,0.002213613724405091,0.3680334455855421,0.2916666666666667,2.6100616016427085,0.0,0.03832020997375328,0.02,21120.0,2786.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,1874.0,1872.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.9989327641408752
9,0.9511101304657719,8356,1647,172,0.3464038071417531,0.27590322494506836,-99.62471751738657,-0.9962471751738657,0,0,0,0,0,575,7359,0,0,100,997,23155,238650,0.99,286.2929292929293,266.0,543.4,4,2,2,1,98,468.0,23626.0,2215.0,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,35.0,0.0,99.0,0.0,102.0,102.0,0.0,39.0,39.0,366.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,99.0,0.0,3814.0,2268983.0,1677.0,70.0,0.04604966139954853,102.0,2050.0,204.0,102.0,102.0,0,0,0.0,12.905558065973791,1.135568397262384,138.61133749999996,135.3125,216.56425000000002,1,0.0,0.0,0.0,0.0,0.0020805303401870284,4.4052863121032715,0,496.0,77.0,1.0,357.0,61.0,4.0,16.0,476.0,0.0,0.0,3.0,1.0,1.0,327.0,10,430.29999999999995,1.0,0.0,0.0,35.0,0.0,long_horizon,0.0,0.05387088888160247,0.059350000000000236,0.7822533566841798,0.0,0.0,0.997639282341832,0.0,0.002360717658168083,0.35493772712839133,0.37,2.372180451127819,0.0,0.04604966139954853,0.02,23626.0,3583.0,5.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,38.0,2176.0,2175.0,4.0,0.0,3.0,0.0,2.0,0.0,0.9743589743589743,0.9995404411764706
